clock,pid,state,cpu_done,cpu_total,io_done,io_total
1,2,READY,0,72,0,139
1,3,READY,0,124,0,22
1,4,READY,0,46,0,176
1,5,READY,0,27,0,153
1,6,READY,0,43,0,123
1,7,READY,0,57,0,155
1,8,READY,0,91,0,12
1,9,READY,0,132,0,17
1,10,READY,0,33,0,62
1,1,RUNNING,1,61,0,131
2,2,READY,0,72,0,139
2,3,READY,0,124,0,22
2,4,READY,0,46,0,176
2,5,READY,0,27,0,153
2,6,READY,0,43,0,123
2,7,READY,0,57,0,155
2,8,READY,0,91,0,12
2,9,READY,0,132,0,17
2,10,READY,0,33,0,62
2,1,WAITING,2,61,0,131
3,3,READY,0,124,0,22
3,4,READY,0,46,0,176
3,5,READY,0,27,0,153
3,6,READY,0,43,0,123
3,7,READY,0,57,0,155
3,8,READY,0,91,0,12
3,9,READY,0,132,0,17
3,10,READY,0,33,0,62
3,1,WAITING,2,61,1,131
3,2,RUNNING,1,72,0,139
4,3,READY,0,124,0,22
4,4,READY,0,46,0,176
4,5,READY,0,27,0,153
4,6,READY,0,43,0,123
4,7,READY,0,57,0,155
4,8,READY,0,91,0,12
4,9,READY,0,132,0,17
4,10,READY,0,33,0,62
4,1,WAITING,2,61,2,131
4,2,RUNNING,2,72,0,139
5,3,READY,0,124,0,22
5,4,READY,0,46,0,176
5,5,READY,0,27,0,153
5,6,READY,0,43,0,123
5,7,READY,0,57,0,155
5,8,READY,0,91,0,12
5,9,READY,0,132,0,17
5,10,READY,0,33,0,62
5,1,WAITING,2,61,3,131
5,2,RUNNING,3,72,0,139
6,3,READY,0,124,0,22
6,4,READY,0,46,0,176
6,5,READY,0,27,0,153
6,6,READY,0,43,0,123
6,7,READY,0,57,0,155
6,8,READY,0,91,0,12
6,9,READY,0,132,0,17
6,10,READY,0,33,0,62
6,1,WAITING,2,61,4,131
6,2,WAITING,4,72,0,139
7,4,READY,0,46,0,176
7,5,READY,0,27,0,153
7,6,READY,0,43,0,123
7,7,READY,0,57,0,155
7,8,READY,0,91,0,12
7,9,READY,0,132,0,17
7,10,READY,0,33,0,62
7,1,WAITING,2,61,5,131
7,2,WAITING,4,72,1,139
7,3,RUNNING,1,124,0,22
8,4,READY,0,46,0,176
8,5,READY,0,27,0,153
8,6,READY,0,43,0,123
8,7,READY,0,57,0,155
8,8,READY,0,91,0,12
8,9,READY,0,132,0,17
8,10,READY,0,33,0,62
8,1,WAITING,2,61,6,131
8,2,WAITING,4,72,2,139
8,3,RUNNING,2,124,0,22
9,4,READY,0,46,0,176
9,5,READY,0,27,0,153
9,6,READY,0,43,0,123
9,7,READY,0,57,0,155
9,8,READY,0,91,0,12
9,9,READY,0,132,0,17
9,10,READY,0,33,0,62
9,1,WAITING,2,61,7,131
9,2,WAITING,4,72,3,139
9,3,RUNNING,3,124,0,22
10,4,READY,0,46,0,176
10,5,READY,0,27,0,153
10,6,READY,0,43,0,123
10,7,READY,0,57,0,155
10,8,READY,0,91,0,12
10,9,READY,0,132,0,17
10,10,READY,0,33,0,62
10,1,WAITING,2,61,8,131
10,2,WAITING,4,72,4,139
10,3,RUNNING,4,124,0,22
11,4,READY,0,46,0,176
11,5,READY,0,27,0,153
11,6,READY,0,43,0,123
11,7,READY,0,57,0,155
11,8,READY,0,91,0,12
11,9,READY,0,132,0,17
11,10,READY,0,33,0,62
11,1,WAITING,2,61,9,131
11,2,WAITING,4,72,5,139
11,3,RUNNING,5,124,0,22
12,4,READY,0,46,0,176
12,5,READY,0,27,0,153
12,6,READY,0,43,0,123
12,7,READY,0,57,0,155
12,8,READY,0,91,0,12
12,9,READY,0,132,0,17
12,10,READY,0,33,0,62
12,1,WAITING,2,61,10,131
12,2,WAITING,4,72,6,139
12,3,RUNNING,6,124,0,22
13,4,READY,0,46,0,176
13,5,READY,0,27,0,153
13,6,READY,0,43,0,123
13,7,READY,0,57,0,155
13,8,READY,0,91,0,12
13,9,READY,0,132,0,17
13,10,READY,0,33,0,62
13,1,WAITING,2,61,11,131
13,2,WAITING,4,72,7,139
13,3,RUNNING,7,124,0,22
14,4,READY,0,46,0,176
14,5,READY,0,27,0,153
14,6,READY,0,43,0,123
14,7,READY,0,57,0,155
14,8,READY,0,91,0,12
14,9,READY,0,132,0,17
14,10,READY,0,33,0,62
14,1,WAITING,2,61,12,131
14,2,WAITING,4,72,8,139
14,3,RUNNING,8,124,0,22
15,4,READY,0,46,0,176
15,5,READY,0,27,0,153
15,6,READY,0,43,0,123
15,7,READY,0,57,0,155
15,8,READY,0,91,0,12
15,9,READY,0,132,0,17
15,10,READY,0,33,0,62
15,1,WAITING,2,61,13,131
15,2,WAITING,4,72,9,139
15,3,RUNNING,9,124,0,22
16,4,READY,0,46,0,176
16,5,READY,0,27,0,153
16,6,READY,0,43,0,123
16,7,READY,0,57,0,155
16,8,READY,0,91,0,12
16,9,READY,0,132,0,17
16,10,READY,0,33,0,62
16,1,WAITING,2,61,14,131
16,2,WAITING,4,72,10,139
16,3,WAITING,10,124,0,22
17,5,READY,0,27,0,153
17,6,READY,0,43,0,123
17,7,READY,0,57,0,155
17,8,READY,0,91,0,12
17,9,READY,0,132,0,17
17,10,READY,0,33,0,62
17,1,WAITING,2,61,15,131
17,2,WAITING,4,72,11,139
17,3,WAITING,10,124,1,22
17,4,RUNNING,1,46,0,176
18,5,READY,0,27,0,153
18,6,READY,0,43,0,123
18,7,READY,0,57,0,155
18,8,READY,0,91,0,12
18,9,READY,0,132,0,17
18,10,READY,0,33,0,62
18,1,WAITING,2,61,16,131
18,2,WAITING,4,72,12,139
18,3,WAITING,10,124,2,22
18,4,WAITING,2,46,0,176
19,6,READY,0,43,0,123
19,7,READY,0,57,0,155
19,8,READY,0,91,0,12
19,9,READY,0,132,0,17
19,10,READY,0,33,0,62
19,1,WAITING,2,61,17,131
19,2,WAITING,4,72,13,139
19,3,WAITING,10,124,3,22
19,4,WAITING,2,46,1,176
19,5,RUNNING,1,27,0,153
20,6,READY,0,43,0,123
20,7,READY,0,57,0,155
20,8,READY,0,91,0,12
20,9,READY,0,132,0,17
20,10,READY,0,33,0,62
20,1,WAITING,2,61,18,131
20,2,WAITING,4,72,14,139
20,3,WAITING,10,124,4,22
20,4,WAITING,2,46,2,176
20,5,RUNNING,2,27,0,153
21,6,READY,0,43,0,123
21,7,READY,0,57,0,155
21,8,READY,0,91,0,12
21,9,READY,0,132,0,17
21,10,READY,0,33,0,62
21,1,WAITING,2,61,19,131
21,2,WAITING,4,72,15,139
21,3,WAITING,10,124,5,22
21,4,WAITING,2,46,3,176
21,5,WAITING,3,27,0,153
22,7,READY,0,57,0,155
22,8,READY,0,91,0,12
22,9,READY,0,132,0,17
22,10,READY,0,33,0,62
22,1,WAITING,2,61,20,131
22,2,WAITING,4,72,16,139
22,3,WAITING,10,124,6,22
22,4,WAITING,2,46,4,176
22,5,WAITING,3,27,1,153
22,6,RUNNING,1,43,0,123
23,7,READY,0,57,0,155
23,8,READY,0,91,0,12
23,9,READY,0,132,0,17
23,10,READY,0,33,0,62
23,1,WAITING,2,61,21,131
23,2,WAITING,4,72,17,139
23,3,WAITING,10,124,7,22
23,4,WAITING,2,46,5,176
23,5,WAITING,3,27,2,153
23,6,WAITING,2,43,0,123
24,8,READY,0,91,0,12
24,9,READY,0,132,0,17
24,10,READY,0,33,0,62
24,1,WAITING,2,61,22,131
24,2,WAITING,4,72,18,139
24,3,WAITING,10,124,8,22
24,4,WAITING,2,46,6,176
24,5,WAITING,3,27,3,153
24,6,WAITING,2,43,1,123
24,7,RUNNING,1,57,0,155
25,8,READY,0,91,0,12
25,9,READY,0,132,0,17
25,10,READY,0,33,0,62
25,1,WAITING,2,61,23,131
25,2,WAITING,4,72,19,139
25,3,WAITING,10,124,9,22
25,4,WAITING,2,46,7,176
25,5,WAITING,3,27,4,153
25,6,WAITING,2,43,2,123
25,7,WAITING,2,57,0,155
26,9,READY,0,132,0,17
26,10,READY,0,33,0,62
26,1,WAITING,2,61,24,131
26,2,WAITING,4,72,20,139
26,3,WAITING,10,124,10,22
26,4,WAITING,2,46,8,176
26,5,WAITING,3,27,5,153
26,6,WAITING,2,43,3,123
26,7,WAITING,2,57,1,155
26,8,RUNNING,1,91,0,12
27,9,READY,0,132,0,17
27,10,READY,0,33,0,62
27,1,WAITING,2,61,25,131
27,2,WAITING,4,72,21,139
27,3,WAITING,10,124,11,22
27,4,WAITING,2,46,9,176
27,5,WAITING,3,27,6,153
27,6,WAITING,2,43,4,123
27,7,WAITING,2,57,2,155
27,8,RUNNING,2,91,0,12
28,9,READY,0,132,0,17
28,10,READY,0,33,0,62
28,1,WAITING,2,61,26,131
28,2,WAITING,4,72,22,139
28,3,WAITING,10,124,12,22
28,4,WAITING,2,46,10,176
28,5,WAITING,3,27,7,153
28,6,WAITING,2,43,5,123
28,7,WAITING,2,57,3,155
28,8,RUNNING,3,91,0,12
29,9,READY,0,132,0,17
29,10,READY,0,33,0,62
29,1,WAITING,2,61,27,131
29,2,WAITING,4,72,23,139
29,3,WAITING,10,124,13,22
29,4,WAITING,2,46,11,176
29,5,WAITING,3,27,8,153
29,6,WAITING,2,43,6,123
29,7,WAITING,2,57,4,155
29,8,RUNNING,4,91,0,12
30,9,READY,0,132,0,17
30,10,READY,0,33,0,62
30,1,WAITING,2,61,28,131
30,2,WAITING,4,72,24,139
30,3,WAITING,10,124,14,22
30,4,WAITING,2,46,12,176
30,5,WAITING,3,27,9,153
30,6,WAITING,2,43,7,123
30,7,WAITING,2,57,5,155
30,8,RUNNING,5,91,0,12
31,9,READY,0,132,0,17
31,10,READY,0,33,0,62
31,1,WAITING,2,61,29,131
31,2,WAITING,4,72,25,139
31,3,WAITING,10,124,15,22
31,4,WAITING,2,46,13,176
31,5,WAITING,3,27,10,153
31,6,WAITING,2,43,8,123
31,7,WAITING,2,57,6,155
31,8,RUNNING,6,91,0,12
32,9,READY,0,132,0,17
32,10,READY,0,33,0,62
32,1,WAITING,2,61,30,131
32,2,WAITING,4,72,26,139
32,3,WAITING,10,124,16,22
32,4,WAITING,2,46,14,176
32,5,WAITING,3,27,11,153
32,6,WAITING,2,43,9,123
32,7,WAITING,2,57,7,155
32,8,RUNNING,7,91,0,12
33,9,READY,0,132,0,17
33,10,READY,0,33,0,62
33,1,WAITING,2,61,31,131
33,2,WAITING,4,72,27,139
33,3,WAITING,10,124,17,22
33,4,WAITING,2,46,15,176
33,5,WAITING,3,27,12,153
33,6,WAITING,2,43,10,123
33,7,WAITING,2,57,8,155
33,8,RUNNING,8,91,0,12
34,9,READY,0,132,0,17
34,10,READY,0,33,0,62
34,1,WAITING,2,61,32,131
34,2,WAITING,4,72,28,139
34,3,WAITING,10,124,18,22
34,4,WAITING,2,46,16,176
34,5,WAITING,3,27,13,153
34,6,WAITING,2,43,11,123
34,7,WAITING,2,57,9,155
34,8,WAITING,9,91,0,12
35,10,READY,0,33,0,62
35,1,WAITING,2,61,33,131
35,2,WAITING,4,72,29,139
35,3,WAITING,10,124,19,22
35,4,WAITING,2,46,17,176
35,5,WAITING,3,27,14,153
35,6,WAITING,2,43,12,123
35,7,WAITING,2,57,10,155
35,8,WAITING,9,91,1,12
35,9,RUNNING,1,132,0,17
36,10,READY,0,33,0,62
36,1,WAITING,2,61,34,131
36,2,WAITING,4,72,30,139
36,3,WAITING,10,124,20,22
36,4,WAITING,2,46,18,176
36,5,WAITING,3,27,15,153
36,6,WAITING,2,43,13,123
36,7,WAITING,2,57,11,155
36,8,WAITING,9,91,2,12
36,9,RUNNING,2,132,0,17
37,10,READY,0,33,0,62
37,1,WAITING,2,61,35,131
37,2,WAITING,4,72,31,139
37,3,WAITING,10,124,21,22
37,4,WAITING,2,46,19,176
37,5,WAITING,3,27,16,153
37,6,WAITING,2,43,14,123
37,7,WAITING,2,57,12,155
37,8,WAITING,9,91,3,12
37,9,RUNNING,3,132,0,17
38,10,READY,0,33,0,62
38,3,READY,10,124,22,22
38,1,WAITING,2,61,36,131
38,2,WAITING,4,72,32,139
38,4,WAITING,2,46,20,176
38,5,WAITING,3,27,17,153
38,6,WAITING,2,43,15,123
38,7,WAITING,2,57,13,155
38,8,WAITING,9,91,4,12
38,9,RUNNING,4,132,0,17
39,10,READY,0,33,0,62
39,3,READY,10,124,22,22
39,1,WAITING,2,61,37,131
39,2,WAITING,4,72,33,139
39,4,WAITING,2,46,21,176
39,5,WAITING,3,27,18,153
39,6,WAITING,2,43,16,123
39,7,WAITING,2,57,14,155
39,8,WAITING,9,91,5,12
39,9,RUNNING,5,132,0,17
40,10,READY,0,33,0,62
40,3,READY,10,124,22,22
40,1,WAITING,2,61,38,131
40,2,WAITING,4,72,34,139
40,4,WAITING,2,46,22,176
40,5,WAITING,3,27,19,153
40,6,WAITING,2,43,17,123
40,7,WAITING,2,57,15,155
40,8,WAITING,9,91,6,12
40,9,RUNNING,6,132,0,17
41,10,READY,0,33,0,62
41,3,READY,10,124,22,22
41,1,WAITING,2,61,39,131
41,2,WAITING,4,72,35,139
41,4,WAITING,2,46,23,176
41,5,WAITING,3,27,20,153
41,6,WAITING,2,43,18,123
41,7,WAITING,2,57,16,155
41,8,WAITING,9,91,7,12
41,9,RUNNING,7,132,0,17
42,10,READY,0,33,0,62
42,3,READY,10,124,22,22
42,1,WAITING,2,61,40,131
42,2,WAITING,4,72,36,139
42,4,WAITING,2,46,24,176
42,5,WAITING,3,27,21,153
42,6,WAITING,2,43,19,123
42,7,WAITING,2,57,17,155
42,8,WAITING,9,91,8,12
42,9,RUNNING,8,132,0,17
43,10,READY,0,33,0,62
43,3,READY,10,124,22,22
43,1,WAITING,2,61,41,131
43,2,WAITING,4,72,37,139
43,4,WAITING,2,46,25,176
43,5,WAITING,3,27,22,153
43,6,WAITING,2,43,20,123
43,7,WAITING,2,57,18,155
43,8,WAITING,9,91,9,12
43,9,RUNNING,9,132,0,17
44,10,READY,0,33,0,62
44,3,READY,10,124,22,22
44,1,WAITING,2,61,42,131
44,2,WAITING,4,72,38,139
44,4,WAITING,2,46,26,176
44,5,WAITING,3,27,23,153
44,6,WAITING,2,43,21,123
44,7,WAITING,2,57,19,155
44,8,WAITING,9,91,10,12
44,9,WAITING,10,132,0,17
45,3,READY,10,124,22,22
45,1,WAITING,2,61,43,131
45,2,WAITING,4,72,39,139
45,4,WAITING,2,46,27,176
45,5,WAITING,3,27,24,153
45,6,WAITING,2,43,22,123
45,7,WAITING,2,57,20,155
45,8,WAITING,9,91,11,12
45,9,WAITING,10,132,1,17
45,10,RUNNING,1,33,0,62
46,3,READY,10,124,22,22
46,8,READY,9,91,12,12
46,1,WAITING,2,61,44,131
46,2,WAITING,4,72,40,139
46,4,WAITING,2,46,28,176
46,5,WAITING,3,27,25,153
46,6,WAITING,2,43,23,123
46,7,WAITING,2,57,21,155
46,9,WAITING,10,132,2,17
46,10,RUNNING,2,33,0,62
47,3,READY,10,124,22,22
47,8,READY,9,91,12,12
47,1,WAITING,2,61,45,131
47,2,WAITING,4,72,41,139
47,4,WAITING,2,46,29,176
47,5,WAITING,3,27,26,153
47,6,WAITING,2,43,24,123
47,7,WAITING,2,57,22,155
47,9,WAITING,10,132,3,17
47,10,WAITING,3,33,0,62
48,8,READY,9,91,12,12
48,1,WAITING,2,61,46,131
48,2,WAITING,4,72,42,139
48,4,WAITING,2,46,30,176
48,5,WAITING,3,27,27,153
48,6,WAITING,2,43,25,123
48,7,WAITING,2,57,23,155
48,9,WAITING,10,132,4,17
48,10,WAITING,3,33,1,62
48,3,RUNNING,11,124,22,22
49,8,READY,9,91,12,12
49,1,WAITING,2,61,47,131
49,2,WAITING,4,72,43,139
49,4,WAITING,2,46,31,176
49,5,WAITING,3,27,28,153
49,6,WAITING,2,43,26,123
49,7,WAITING,2,57,24,155
49,9,WAITING,10,132,5,17
49,10,WAITING,3,33,2,62
49,3,RUNNING,12,124,22,22
50,8,READY,9,91,12,12
50,1,WAITING,2,61,48,131
50,2,WAITING,4,72,44,139
50,4,WAITING,2,46,32,176
50,5,WAITING,3,27,29,153
50,6,WAITING,2,43,27,123
50,7,WAITING,2,57,25,155
50,9,WAITING,10,132,6,17
50,10,WAITING,3,33,3,62
50,3,RUNNING,13,124,22,22
51,8,READY,9,91,12,12
51,1,WAITING,2,61,49,131
51,2,WAITING,4,72,45,139
51,4,WAITING,2,46,33,176
51,5,WAITING,3,27,30,153
51,6,WAITING,2,43,28,123
51,7,WAITING,2,57,26,155
51,9,WAITING,10,132,7,17
51,10,WAITING,3,33,4,62
51,3,RUNNING,14,124,22,22
52,8,READY,9,91,12,12
52,1,WAITING,2,61,50,131
52,2,WAITING,4,72,46,139
52,4,WAITING,2,46,34,176
52,5,WAITING,3,27,31,153
52,6,WAITING,2,43,29,123
52,7,WAITING,2,57,27,155
52,9,WAITING,10,132,8,17
52,10,WAITING,3,33,5,62
52,3,RUNNING,15,124,22,22
53,8,READY,9,91,12,12
53,1,WAITING,2,61,51,131
53,2,WAITING,4,72,47,139
53,4,WAITING,2,46,35,176
53,5,WAITING,3,27,32,153
53,6,WAITING,2,43,30,123
53,7,WAITING,2,57,28,155
53,9,WAITING,10,132,9,17
53,10,WAITING,3,33,6,62
53,3,RUNNING,16,124,22,22
54,8,READY,9,91,12,12
54,1,WAITING,2,61,52,131
54,2,WAITING,4,72,48,139
54,4,WAITING,2,46,36,176
54,5,WAITING,3,27,33,153
54,6,WAITING,2,43,31,123
54,7,WAITING,2,57,29,155
54,9,WAITING,10,132,10,17
54,10,WAITING,3,33,7,62
54,3,RUNNING,17,124,22,22
55,8,READY,9,91,12,12
55,1,WAITING,2,61,53,131
55,2,WAITING,4,72,49,139
55,4,WAITING,2,46,37,176
55,5,WAITING,3,27,34,153
55,6,WAITING,2,43,32,123
55,7,WAITING,2,57,30,155
55,9,WAITING,10,132,11,17
55,10,WAITING,3,33,8,62
