clock,running_pid,ready_size,waiting_size,terminated_size
1,1,9,0,0
2,-1,9,1,0
3,2,8,1,0
4,2,8,1,0
5,2,8,1,0
6,-1,8,2,0
7,3,7,2,0
8,3,7,2,0
9,3,7,2,0
10,3,7,2,0
11,3,7,2,0
12,3,7,2,0
13,3,7,2,0
14,3,7,2,0
15,3,7,2,0
16,-1,7,3,0
17,4,6,3,0
18,-1,6,4,0
19,5,5,4,0
20,5,5,4,0
21,-1,5,5,0
22,6,4,5,0
23,-1,4,6,0
24,7,3,6,0
25,-1,3,7,0
26,8,2,7,0
27,8,2,7,0
28,8,2,7,0
29,8,2,7,0
30,8,2,7,0
31,8,2,7,0
32,8,2,7,0
33,8,2,7,0
34,-1,2,8,0
35,9,1,8,0
36,9,1,8,0
37,9,1,8,0
38,9,2,7,0
39,9,2,7,0
40,9,2,7,0
41,9,2,7,0
42,9,2,7,0
43,9,2,7,0
44,-1,2,8,0
45,10,1,8,0
46,10,2,7,0
47,-1,2,8,0
48,3,1,8,0
49,3,1,8,0
50,3,1,8,0
51,3,1,8,0
52,3,1,8,0
53,3,1,8,0
54,3,1,8,0
55,3,1,8,0
56,3,1,8,0
57,3,1,8,0
58,3,1,8,0
59,3,1,8,0
60,3,1,8,0
61,3,2,7,0
62,3,2,7,0
63,3,2,7,0
64,3,2,7,0
65,3,2,7,0
66,3,2,7,0
67,3,2,7,0
68,3,2,7,0
69,3,2,7,0
70,3,2,7,0
71,3,2,7,0
72,3,2,7,0
73,3,2,7,0
74,3,2,7,0
75,3,2,7,0
76,3,2,7,0
77,3,2,7,0
78,3,2,7,0
79,3,2,7,0
80,3,2,7,0
81,3,2,7,0
82,3,2,7,0
83,3,2,7,0
84,3,2,7,0
85,3,2,7,0
86,3,2,7,0
87,3,2,7,0
88,3,2,7,0
89,3,2,7,0
90,3,2,7,0
91,3,2,7,0
92,3,2,7,0
93,3,2,7,0
94,3,2,7,0
95,3,2,7,0
96,3,2,7,0
97,3,2,7,0
98,3,2,7,0
99,3,2,7,0
100,3,2,7,0
101,3,2,7,0
102,3,2,7,0
103,3,2,7,0
104,3,2,7,0
105,3,2,7,0
106,3,2,7,0
107,3,2,7,0
108,3,2,7,0
109,3,3,6,0
