clock,pid,state,cpu_done,cpu_total,io_done,io_total
1,2,READY,0,66,0,85
1,3,READY,0,82,0,149
1,4,READY,0,41,0,176
1,5,READY,0,60,0,184
1,6,READY,0,77,0,64
1,7,READY,0,21,0,133
1,8,READY,0,165,0,10
1,9,READY,0,81,0,62
1,10,READY,0,57,0,114
1,1,RUNNING,1,38,0,115
2,2,READY,0,66,0,85
2,3,READY,0,82,0,149
2,4,READY,0,41,0,176
2,5,READY,0,60,0,184
2,6,READY,0,77,0,64
2,7,READY,0,21,0,133
2,8,READY,0,165,0,10
2,9,READY,0,81,0,62
2,10,READY,0,57,0,114
2,1,WAITING,2,38,0,115
3,3,READY,0,82,0,149
3,4,READY,0,41,0,176
3,5,READY,0,60,0,184
3,6,READY,0,77,0,64
3,7,READY,0,21,0,133
3,8,READY,0,165,0,10
3,9,READY,0,81,0,62
3,10,READY,0,57,0,114
3,1,WAITING,2,38,1,115
3,2,RUNNING,1,66,0,85
4,3,READY,0,82,0,149
4,4,READY,0,41,0,176
4,5,READY,0,60,0,184
4,6,READY,0,77,0,64
4,7,READY,0,21,0,133
4,8,READY,0,165,0,10
4,9,READY,0,81,0,62
4,10,READY,0,57,0,114
4,2,READY,2,66,0,85
4,1,WAITING,2,38,2,115
5,4,READY,0,41,0,176
5,5,READY,0,60,0,184
5,6,READY,0,77,0,64
5,7,READY,0,21,0,133
5,8,READY,0,165,0,10
5,9,READY,0,81,0,62
5,10,READY,0,57,0,114
5,2,READY,2,66,0,85
5,1,WAITING,2,38,3,115
5,3,RUNNING,1,82,0,149
6,4,READY,0,41,0,176
6,5,READY,0,60,0,184
6,6,READY,0,77,0,64
6,7,READY,0,21,0,133
6,8,READY,0,165,0,10
6,9,READY,0,81,0,62
6,10,READY,0,57,0,114
6,2,READY,2,66,0,85
6,3,READY,2,82,0,149
6,1,WAITING,2,38,4,115
7,5,READY,0,60,0,184
7,6,READY,0,77,0,64
7,7,READY,0,21,0,133
7,8,READY,0,165,0,10
7,9,READY,0,81,0,62
7,10,READY,0,57,0,114
7,2,READY,2,66,0,85
7,3,READY,2,82,0,149
7,1,WAITING,2,38,5,115
7,4,RUNNING,1,41,0,176
8,5,READY,0,60,0,184
8,6,READY,0,77,0,64
8,7,READY,0,21,0,133
8,8,READY,0,165,0,10
8,9,READY,0,81,0,62
8,10,READY,0,57,0,114
8,2,READY,2,66,0,85
8,3,READY,2,82,0,149
8,4,READY,2,41,0,176
8,1,WAITING,2,38,6,115
9,6,READY,0,77,0,64
9,7,READY,0,21,0,133
9,8,READY,0,165,0,10
9,9,READY,0,81,0,62
9,10,READY,0,57,0,114
9,2,READY,2,66,0,85
9,3,READY,2,82,0,149
9,4,READY,2,41,0,176
9,1,WAITING,2,38,7,115
9,5,RUNNING,1,60,0,184
10,6,READY,0,77,0,64
10,7,READY,0,21,0,133
10,8,READY,0,165,0,10
10,9,READY,0,81,0,62
10,10,READY,0,57,0,114
10,2,READY,2,66,0,85
10,3,READY,2,82,0,149
10,4,READY,2,41,0,176
10,5,READY,2,60,0,184
10,1,WAITING,2,38,8,115
11,7,READY,0,21,0,133
11,8,READY,0,165,0,10
11,9,READY,0,81,0,62
11,10,READY,0,57,0,114
11,2,READY,2,66,0,85
11,3,READY,2,82,0,149
11,4,READY,2,41,0,176
11,5,READY,2,60,0,184
11,1,WAITING,2,38,9,115
11,6,RUNNING,1,77,0,64
12,7,READY,0,21,0,133
12,8,READY,0,165,0,10
12,9,READY,0,81,0,62
12,10,READY,0,57,0,114
12,2,READY,2,66,0,85
12,3,READY,2,82,0,149
12,4,READY,2,41,0,176
12,5,READY,2,60,0,184
12,1,WAITING,2,38,10,115
12,6,WAITING,2,77,0,64
13,8,READY,0,165,0,10
13,9,READY,0,81,0,62
13,10,READY,0,57,0,114
13,2,READY,2,66,0,85
13,3,READY,2,82,0,149
13,4,READY,2,41,0,176
13,5,READY,2,60,0,184
13,1,WAITING,2,38,11,115
13,6,WAITING,2,77,1,64
13,7,RUNNING,1,21,0,133
14,8,READY,0,165,0,10
14,9,READY,0,81,0,62
14,10,READY,0,57,0,114
14,2,READY,2,66,0,85
14,3,READY,2,82,0,149
14,4,READY,2,41,0,176
14,5,READY,2,60,0,184
14,7,READY,2,21,0,133
14,1,WAITING,2,38,12,115
14,6,WAITING,2,77,2,64
15,9,READY,0,81,0,62
15,10,READY,0,57,0,114
15,2,READY,2,66,0,85
15,3,READY,2,82,0,149
15,4,READY,2,41,0,176
15,5,READY,2,60,0,184
15,7,READY,2,21,0,133
15,1,WAITING,2,38,13,115
15,6,WAITING,2,77,3,64
15,8,RUNNING,1,165,0,10
16,9,READY,0,81,0,62
16,10,READY,0,57,0,114
16,2,READY,2,66,0,85
16,3,READY,2,82,0,149
16,4,READY,2,41,0,176
16,5,READY,2,60,0,184
16,7,READY,2,21,0,133
16,8,READY,2,165,0,10
16,1,WAITING,2,38,14,115
16,6,WAITING,2,77,4,64
17,10,READY,0,57,0,114
17,2,READY,2,66,0,85
17,3,READY,2,82,0,149
17,4,READY,2,41,0,176
17,5,READY,2,60,0,184
17,7,READY,2,21,0,133
17,8,READY,2,165,0,10
17,1,WAITING,2,38,15,115
17,6,WAITING,2,77,5,64
17,9,RUNNING,1,81,0,62
18,10,READY,0,57,0,114
18,2,READY,2,66,0,85
18,3,READY,2,82,0,149
18,4,READY,2,41,0,176
18,5,READY,2,60,0,184
18,7,READY,2,21,0,133
18,8,READY,2,165,0,10
18,9,READY,2,81,0,62
18,1,WAITING,2,38,16,115
18,6,WAITING,2,77,6,64
19,2,READY,2,66,0,85
19,3,READY,2,82,0,149
19,4,READY,2,41,0,176
19,5,READY,2,60,0,184
19,7,READY,2,21,0,133
19,8,READY,2,165,0,10
19,9,READY,2,81,0,62
19,1,WAITING,2,38,17,115
19,6,WAITING,2,77,7,64
19,10,RUNNING,1,57,0,114
20,2,READY,2,66,0,85
20,3,READY,2,82,0,149
20,4,READY,2,41,0,176
20,5,READY,2,60,0,184
20,7,READY,2,21,0,133
20,8,READY,2,165,0,10
20,9,READY,2,81,0,62
20,1,WAITING,2,38,18,115
20,6,WAITING,2,77,8,64
20,10,WAITING,2,57,0,114
21,3,READY,2,82,0,149
21,4,READY,2,41,0,176
21,5,READY,2,60,0,184
21,7,READY,2,21,0,133
21,8,READY,2,165,0,10
21,9,READY,2,81,0,62
21,1,WAITING,2,38,19,115
21,6,WAITING,2,77,9,64
21,10,WAITING,2,57,1,114
21,2,RUNNING,3,66,0,85
22,3,READY,2,82,0,149
22,4,READY,2,41,0,176
22,5,READY,2,60,0,184
22,7,READY,2,21,0,133
22,8,READY,2,165,0,10
22,9,READY,2,81,0,62
22,1,WAITING,2,38,20,115
22,6,WAITING,2,77,10,64
22,10,WAITING,2,57,2,114
22,2,WAITING,4,66,0,85
23,4,READY,2,41,0,176
23,5,READY,2,60,0,184
23,7,READY,2,21,0,133
23,8,READY,2,165,0,10
23,9,READY,2,81,0,62
23,1,WAITING,2,38,21,115
23,6,WAITING,2,77,11,64
23,10,WAITING,2,57,3,114
23,2,WAITING,4,66,1,85
23,3,WAITING,3,82,0,149
24,5,READY,2,60,0,184
24,7,READY,2,21,0,133
24,8,READY,2,165,0,10
24,9,READY,2,81,0,62
24,1,WAITING,2,38,22,115
24,6,WAITING,2,77,12,64
24,10,WAITING,2,57,4,114
24,2,WAITING,4,66,2,85
24,3,WAITING,3,82,1,149
24,4,WAITING,3,41,0,176
25,7,READY,2,21,0,133
25,8,READY,2,165,0,10
25,9,READY,2,81,0,62
25,1,WAITING,2,38,23,115
25,6,WAITING,2,77,13,64
25,10,WAITING,2,57,5,114
25,2,WAITING,4,66,3,85
25,3,WAITING,3,82,2,149
25,4,WAITING,3,41,1,176
25,5,RUNNING,3,60,0,184
26,7,READY,2,21,0,133
26,8,READY,2,165,0,10
26,9,READY,2,81,0,62
26,1,WAITING,2,38,24,115
26,6,WAITING,2,77,14,64
26,10,WAITING,2,57,6,114
26,2,WAITING,4,66,4,85
26,3,WAITING,3,82,3,149
26,4,WAITING,3,41,2,176
26,5,WAITING,4,60,0,184
27,8,READY,2,165,0,10
27,9,READY,2,81,0,62
27,1,WAITING,2,38,25,115
27,6,WAITING,2,77,15,64
27,10,WAITING,2,57,7,114
27,2,WAITING,4,66,5,85
27,3,WAITING,3,82,4,149
27,4,WAITING,3,41,3,176
27,5,WAITING,4,60,1,184
27,7,WAITING,3,21,0,133
28,9,READY,2,81,0,62
28,1,WAITING,2,38,26,115
28,6,WAITING,2,77,16,64
28,10,WAITING,2,57,8,114
28,2,WAITING,4,66,6,85
28,3,WAITING,3,82,5,149
28,4,WAITING,3,41,4,176
28,5,WAITING,4,60,2,184
28,7,WAITING,3,21,1,133
28,8,RUNNING,3,165,0,10
29,9,READY,2,81,0,62
29,8,READY,4,165,0,10
29,1,WAITING,2,38,27,115
29,6,WAITING,2,77,17,64
29,10,WAITING,2,57,9,114
29,2,WAITING,4,66,7,85
29,3,WAITING,3,82,6,149
29,4,WAITING,3,41,5,176
29,5,WAITING,4,60,3,184
29,7,WAITING,3,21,2,133
30,8,READY,4,165,0,10
30,1,WAITING,2,38,28,115
30,6,WAITING,2,77,18,64
30,10,WAITING,2,57,10,114
30,2,WAITING,4,66,8,85
30,3,WAITING,3,82,7,149
30,4,WAITING,3,41,6,176
30,5,WAITING,4,60,4,184
30,7,WAITING,3,21,3,133
30,9,WAITING,3,81,0,62
31,1,WAITING,2,38,29,115
31,6,WAITING,2,77,19,64
31,10,WAITING,2,57,11,114
31,2,WAITING,4,66,9,85
31,3,WAITING,3,82,8,149
31,4,WAITING,3,41,7,176
31,5,WAITING,4,60,5,184
31,7,WAITING,3,21,4,133
31,9,WAITING,3,81,1,62
31,8,RUNNING,5,165,0,10
32,1,WAITING,2,38,30,115
32,6,WAITING,2,77,20,64
32,10,WAITING,2,57,12,114
32,2,WAITING,4,66,10,85
32,3,WAITING,3,82,9,149
32,4,WAITING,3,41,8,176
32,5,WAITING,4,60,6,184
32,7,WAITING,3,21,5,133
32,9,WAITING,3,81,2,62
32,8,RUNNING,6,165,0,10
33,1,WAITING,2,38,31,115
33,6,WAITING,2,77,21,64
33,10,WAITING,2,57,13,114
33,2,WAITING,4,66,11,85
33,3,WAITING,3,82,10,149
33,4,WAITING,3,41,9,176
33,5,WAITING,4,60,7,184
33,7,WAITING,3,21,6,133
33,9,WAITING,3,81,3,62
33,8,RUNNING,7,165,0,10
34,1,WAITING,2,38,32,115
34,6,WAITING,2,77,22,64
34,10,WAITING,2,57,14,114
34,2,WAITING,4,66,12,85
34,3,WAITING,3,82,11,149
34,4,WAITING,3,41,10,176
34,5,WAITING,4,60,8,184
34,7,WAITING,3,21,7,133
34,9,WAITING,3,81,4,62
34,8,WAITING,8,165,0,10
35,1,WAITING,2,38,33,115
35,6,WAITING,2,77,23,64
35,10,WAITING,2,57,15,114
35,2,WAITING,4,66,13,85
35,3,WAITING,3,82,12,149
35,4,WAITING,3,41,11,176
35,5,WAITING,4,60,9,184
35,7,WAITING,3,21,8,133
35,9,WAITING,3,81,5,62
35,8,WAITING,8,165,1,10
36,1,WAITING,2,38,34,115
36,6,WAITING,2,77,24,64
36,10,WAITING,2,57,16,114
36,2,WAITING,4,66,14,85
36,3,WAITING,3,82,13,149
