clock,running_pid,ready_size,waiting_size,terminated_size
1,1,9,0,0
2,1,9,0,0
3,1,9,0,0
4,1,9,0,0
5,-1,10,0,0
6,2,9,0,0
7,2,9,0,0
8,-1,9,1,0
9,3,8,1,0
10,3,8,1,0
11,-1,8,2,0
12,4,7,2,0
13,4,7,2,0
14,4,7,2,0
15,4,7,2,0
16,-1,8,2,0
17,5,7,2,0
18,5,7,2,0
19,5,7,2,0
20,-1,7,3,0
21,6,6,3,0
22,6,6,3,0
23,6,6,3,0
24,6,6,3,0
25,-1,7,3,0
26,7,6,3,0
27,7,6,3,0
28,7,6,3,0
29,7,6,3,0
30,-1,7,3,0
31,8,6,3,0
32,8,6,3,0
33,-1,6,4,0
34,9,5,4,0
35,9,5,4,0
36,9,5,4,0
37,-1,5,5,0
38,10,4,5,0
39,-1,4,6,0
40,1,3,6,0
41,-1,3,7,0
42,4,2,7,0
43,4,2,7,0
44,-1,2,8,0
45,6,1,8,0
46,6,1,8,0
47,6,1,8,0
48,-1,1,9,0
49,7,0,9,0
50,7,0,9,0
51,7,0,9,0
52,-1,0,10,0
53,-1,0,10,0
54,-1,0,10,0
55,-1,0,10,0
56,-1,0,10,0
57,-1,0,10,0
58,-1,0,10,0
59,-1,0,10,0
60,-1,0,10,0
61,1,0,9,0
62,1,1,8,0
63,1,1,8,0
64,1,2,7,0
65,-1,3,7,0
66,6,2,7,0
67,6,2,7,0
68,6,2,7,0
69,6,2,7,0
70,-1,3,7,0
71,4,3,6,0
72,4,3,6,0
73,4,3,6,0
74,4,3,6,0
75,-1,4,6,0
76,1,3,6,0
77,1,3,6,0
78,1,3,6,0
79,1,3,6,0
80,-1,5,5,0
81,6,4,5,0
82,6,4,5,0
83,6,4,5,0
84,6,4,5,0
85,-1,5,5,0
86,2,4,5,0
87,2,4,5,0
88,2,4,5,0
89,2,4,5,0
90,-1,5,5,0
91,4,4,5,0
92,4,4,5,0
93,4,4,5,0
94,4,4,5,0
95,-1,5,5,0
96,7,4,5,0
97,7,4,5,0
98,7,4,5,0
99,7,4,5,0
100,-1,5,5,0
101,1,4,5,0
102,1,4,5,0
103,1,4,5,0
104,1,4,5,0
105,-1,5,5,0
106,6,4,5,0
107,6,4,5,0
108,6,4,5,0
109,6,4,5,0
110,-1,5,5,0
111,2,4,5,0
112,2,4,5,0
113,2,4,5,0
114,2,4,5,0
115,-1,5,5,0
116,4,4,5,0
117,4,4,5,0
118,4,4,5,0
119,4,4,5,0
120,-1,5,5,0
121,7,4,5,0
122,7,4,5,0
123,7,4,5,0
124,7,4,5,0
125,-1,5,5,0
126,1,4,5,0
127,1,4,5,0
128,1,4,5,0
129,1,4,5,0
130,-1,6,4,0
131,6,5,4,0
132,6,5,4,0
133,6,5,4,0
134,6,5,4,0
135,-1,6,4,0
136,2,5,4,0
137,2,5,4,0
138,2,5,4,0
139,2,5,4,0
140,-1,6,4,0
141,4,6,3,0
142,4,6,3,0
143,4,6,3,0
144,4,6,3,0
145,-1,7,3,0
146,7,6,3,0
147,7,8,1,0
148,7,8,1,0
149,7,8,1,0
150,-1,9,1,0
151,10,9,0,0
152,10,9,0,0
153,10,9,0,0
154,10,9,0,0
155,-1,10,0,0
156,1,9,0,0
157,1,9,0,0
158,1,9,0,0
159,1,9,0,0
160,-1,10,0,0
161,6,9,0,0
162,6,9,0,0
163,6,9,0,0
164,6,9,0,0
165,-1,10,0,0
166,2,9,0,0
167,2,9,0,0
168,2,9,0,0
169,2,9,0,0
170,-1,10,0,0
171,8,9,0,0
172,8,9,0,0
173,8,9,0,0
174,8,9,0,0
175,-1,10,0,0
176,4,9,0,0
177,4,9,0,0
178,4,9,0,0
179,4,9,0,0
180,-1,10,0,0
181,3,9,0,0
182,3,9,0,0
183,3,9,0,0
184,3,9,0,0
185,-1,10,0,0
186,9,9,0,0
187,9,9,0,0
188,9,9,0,0
189,9,9,0,0
190,-1,10,0,0
191,7,9,0,0
192,7,9,0,0
193,7,9,0,0
194,7,9,0,0
195,-1,10,0,0
196,5,9,0,0
197,5,9,0,0
198,5,9,0,0
199,5,9,0,0
200,-1,10,0,0
201,10,9,0,0
202,10,9,0,0
203,10,9,0,0
204,10,9,0,0
205,-1,10,0,0
206,1,9,0,0
207,1,9,0,0
208,1,9,0,0
209,1,9,0,0
210,-1,10,0,0
211,6,9,0,0
212,6,9,0,0
213,6,9,0,0
214,6,9,0,0
215,-1,10,0,0
216,2,9,0,0
217,2,9,0,0
218,2,9,0,0
219,2,9,0,0
220,-1,10,0,0
221,8,9,0,0
222,8,9,0,0
223,8,9,0,0
224,8,9,0,0
225,-1,10,0,0
226,4,9,0,0
227,4,9,0,0
228,4,9,0,0
229,4,9,0,0
230,-1,10,0,0
231,3,9,0,0
232,3,9,0,0
233,3,9,0,0
234,3,9,0,0
235,-1,10,0,0
236,9,9,0,0
237,9,9,0,0
238,9,9,0,0
239,9,9,0,0
240,-1,10,0,0
241,7,9,0,0
242,7,9,0,0
243,7,9,0,0
244,7,9,0,0
245,-1,10,0,0
246,5,9,0,0
247,5,9,0,0
248,5,9,0,0
249,5,9,0,0
250,-1,10,0,0
251,10,9,0,0
252,10,9,0,0
253,10,9,0,0
254,10,9,0,0
255,-1,10,0,0
256,1,9,0,0
257,1,9,0,0
258,1,9,0,0
259,1,9,0,0
260,-1,10,0,0
261,6,9,0,0
262,6,9,0,0
263,6,9,0,0
264,6,9,0,0
265,-1,10,0,0
266,2,9,0,0
267,2,9,0,0
268,2,9,0,0
269,2,9,0,0
270,-1,10,0,0
271,8,9,0,0
272,8,9,0,0
273,8,9,0,0
274,8,9,0,0
275,-1,10,0,0
276,4,9,0,0
277,4,9,0,0
278,4,9,0,0
279,4,9,0,0
280,-1,10,0,0
281,3,9,0,0
282,3,9,0,0
283,3,9,0,0
284,3,9,0,0
285,-1,10,0,0
286,9,9,0,0
287,9,9,0,0
288,9,9,0,0
289,9,9,0,0
290,-1,10,0,0
291,7,9,0,0
292,7,9,0,0
293,7,9,0,0
294,7,9,0,0
295,-1,10,0,0
296,5,9,0,0
297,5,9,0,0
298,5,9,0,0
299,5,9,0,0
300,-1,10,0,0
301,10,9,0,0
302,10,9,0,0
303,10,9,0,0
304,10,9,0,0
305,-1,10,0,0
306,1,9,0,0
307,1,9,0,0
308,1,9,0,0
309,1,9,0,0
310,-1,10,0,0
311,6,9,0,0
312,6,9,0,0
313,6,9,0,0
314,6,9,0,0
315,-1,10,0,0
316,2,9,0,0
317,2,9,0,0
318,2,9,0,0
319,2,9,0,0
320,-1,10,0,0
321,8,9,0,0
322,8,9,0,0
323,8,9,0,0
324,8,9,0,0
325,-1,10,0,0
326,4,9,0,0
327,4,9,0,0
328,4,9,0,0
329,4,9,0,0
330,-1,10,0,0
331,3,9,0,0
332,3,9,0,0
333,3,9,0,0
334,3,9,0,0
335,-1,10,0,0
336,9,9,0,0
337,9,9,0,0
338,9,9,0,0
339,9,9,0,0
340,-1,10,0,0
341,7,9,0,0
342,7,9,0,0
343,7,9,0,0
344,7,9,0,0
345,-1,10,0,0
346,5,9,0,0
347,5,9,0,0
348,5,9,0,0
349,5,9,0,0
350,-1,10,0,0
351,10,9,0,0
352,10,9,0,0
353,10,9,0,0
354,10,9,0,0
355,-1,10,0,0
356,1,9,0,0
357,1,9,0,0
358,1,9,0,0
359,1,9,0,0
360,-1,10,0,0
361,6,9,0,0
362,6,9,0,0
363,6,9,0,0
364,6,9,0,0
365,-1,10,0,0
366,2,9,0,0
367,2,9,0,0
368,2,9,0,0
369,2,9,0,0
370,-1,10,0,0
371,-1,9,0,1
372,4,8,0,1
373,4,8,0,1
374,4,8,0,1
375,4,8,0,1
376,-1,9,0,1
377,3,8,0,1
378,3,8,0,1
379,3,8,0,1
380,3,8,0,1
381,-1,9,0,1
382,9,8,0,1
383,9,8,0,1
384,9,8,0,1
385,9,8,0,1
386,-1,9,0,1
387,7,8,0,1
388,7,8,0,1
389,7,8,0,1
390,7,8,0,1
391,-1,9,0,1
392,5,8,0,1
393,5,8,0,1
394,5,8,0,1
395,5,8,0,1
396,-1,9,0,1
397,10,8,0,1
398,10,8,0,1
399,10,8,0,1
400,10,8,0,1
401,-1,9,0,1
402,1,8,0,1
403,1,8,0,1
404,1,8,0,1
405,1,8,0,1
406,-1,9,0,1
407,6,8,0,1
408,6,8,0,1
409,6,8,0,1
410,6,8,0,1
411,-1,9,0,1
412,2,8,0,1
413,2,8,0,1
414,2,8,0,1
415,2,8,0,1
416,-1,9,0,1
417,4,8,0,1
418,4,8,0,1
419,4,8,0,1
420,4,8,0,1
421,-1,9,0,1
422,3,8,0,1
423,3,8,0,1
424,3,8,0,1
425,3,8,0,1
426,-1,9,0,1
427,9,8,0,1
428,9,8,0,1
429,9,8,0,1
430,9,8,0,1
431,-1,9,0,1
432,7,8,0,1
433,7,8,0,1
434,7,8,0,1
435,7,8,0,1
436,-1,9,0,1
437,5,8,0,1
438,5,8,0,1
439,5,8,0,1
440,5,8,0,1
441,-1,9,0,1
442,-1,8,0,2
443,1,7,0,2
444,1,7,0,2
445,1,7,0,2
446,1,7,0,2
447,-1,8,0,2
448,6,7,0,2
449,6,7,0,2
450,6,7,0,2
451,6,7,0,2
452,-1,8,0,2
453,2,7,0,2
454,2,7,0,2
455,2,7,0,2
456,2,7,0,2
457,-1,8,0,2
458,4,7,0,2
459,4,7,0,2
460,4,7,0,2
461,4,7,0,2
462,-1,8,0,2
463,3,7,0,2
464,3,7,0,2
465,3,7,0,2
466,3,7,0,2
467,-1,8,0,2
468,9,7,0,2
469,9,7,0,2
470,9,7,0,2
471,9,7,0,2
472,-1,8,0,2
473,7,7,0,2
474,7,7,0,2
475,7,7,0,2
476,7,7,0,2
477,-1,8,0,2
478,5,7,0,2
479,5,7,0,2
480,5,7,0,2
481,5,7,0,2
482,-1,8,0,2
483,1,7,0,2
484,1,7,0,2
485,1,7,0,2
486,1,7,0,2
487,-1,8,0,2
488,6,7,0,2
489,6,7,0,2
490,6,7,0,2
491,6,7,0,2
492,-1,8,0,2
493,2,7,0,2
494,2,7,0,2
495,2,7,0,2
496,2,7,0,2
497,-1,8,0,2
498,4,7,0,2
499,4,7,0,2
500,4,7,0,2
501,4,7,0,2
502,-1,8,0,2
503,3,7,0,2
504,3,7,0,2
505,3,7,0,2
506,3,7,0,2
507,-1,8,0,2
508,9,7,0,2
509,9,7,0,2
510,9,7,0,2
511,9,7,0,2
512,-1,8,0,2
513,7,7,0,2
514,7,7,0,2
515,7,7,0,2
516,7,7,0,2
517,-1,8,0,2
518,-1,7,0,3
519,1,6,0,3
520,1,6,0,3
521,1,6,0,3
522,1,6,0,3
523,-1,7,0,3
524,6,6,0,3
525,6,6,0,3
526,6,6,0,3
527,6,6,0,3
528,-1,7,0,3
529,2,6,0,3
530,2,6,0,3
531,2,6,0,3
532,2,6,0,3
533,-1,7,0,3
534,4,6,0,3
535,4,6,0,3
536,4,6,0,3
537,4,6,0,3
538,-1,7,0,3
539,3,6,0,3
540,3,6,0,3
541,3,6,0,3
542,3,6,0,3
543,-1,7,0,3
544,9,6,0,3
545,9,6,0,3
546,9,6,0,3
547,9,6,0,3
548,-1,7,0,3
549,7,6,0,3
550,7,6,0,3
551,7,6,0,3
552,7,6,0,3
553,-1,7,0,3
554,1,6,0,3
555,1,6,0,3
556,1,6,0,3
557,1,6,0,3
558,-1,7,0,3
559,6,6,0,3
560,6,6,0,3
561,6,6,0,3
562,6,6,0,3
563,-1,7,0,3
564,2,6,0,3
565,2,6,0,3
566,2,6,0,3
567,2,6,0,3
568,-1,7,0,3
569,4,6,0,3
570,4,6,0,3
571,4,6,0,3
572,4,6,0,3
573,-1,7,0,3
574,3,6,0,3
575,3,6,0,3
576,3,6,0,3
577,3,6,0,3
578,-1,7,0,3
579,9,6,0,3
580,9,6,0,3
581,9,6,0,3
582,9,6,0,3
583,-1,7,0,3
584,7,6,0,3
585,7,6,0,3
586,7,6,0,3
587,7,6,0,3
588,-1,7,0,3
589,1,6,0,3
590,1,6,0,3
591,1,6,0,3
592,1,6,0,3
593,-1,7,0,3
594,6,6,0,3
595,6,6,0,3
596,6,6,0,3
597,6,6,0,3
598,-1,7,0,3
599,2,6,0,3
600,-1,6,0,4
601,4,5,0,4
602,4,5,0,4
603,4,5,0,4
604,4,5,0,4
605,-1,6,0,4
606,3,5,0,4
607,3,5,0,4
608,3,5,0,4
609,3,5,0,4
610,-1,6,0,4
611,9,5,0,4
612,9,5,0,4
613,9,5,0,4
614,9,5,0,4
615,-1,6,0,4
616,7,5,0,4
617,7,5,0,4
618,7,5,0,4
619,7,5,0,4
620,-1,6,0,4
621,1,5,0,4
622,1,5,0,4
623,1,5,0,4
624,1,5,0,4
625,-1,6,0,4
626,6,5,0,4
627,6,5,0,4
628,6,5,0,4
629,6,5,0,4
630,-1,6,0,4
631,4,5,0,4
632,4,5,0,4
633,4,5,0,4
634,4,5,0,4
635,-1,6,0,4
636,3,5,0,4
637,3,5,0,4
638,3,5,0,4
639,3,5,0,4
640,-1,6,0,4
641,9,5,0,4
642,9,5,0,4
643,-1,5,0,5
644,7,4,0,5
645,7,4,0,5
646,7,4,0,5
647,7,4,0,5
648,-1,5,0,5
649,1,4,0,5
650,1,4,0,5
651,1,4,0,5
652,1,4,0,5
653,-1,5,0,5
654,6,4,0,5
655,6,4,0,5
656,6,4,0,5
657,6,4,0,5
658,-1,5,0,5
659,4,4,0,5
660,4,4,0,5
661,4,4,0,5
662,4,4,0,5
663,-1,5,0,5
664,3,4,0,5
665,3,4,0,5
666,3,4,0,5
667,-1,4,0,6
668,7,3,0,6
669,7,3,0,6
670,7,3,0,6
671,7,3,0,6
672,-1,4,0,6
673,1,3,0,6
674,1,3,0,6
675,1,3,0,6
676,1,3,0,6
677,-1,4,0,6
678,6,3,0,6
679,6,3,0,6
680,6,3,0,6
681,6,3,0,6
682,-1,4,0,6
683,4,3,0,6
684,4,3,0,6
685,4,3,0,6
686,4,3,0,6
687,-1,4,0,6
688,7,3,0,6
689,7,3,0,6
690,7,3,0,6
691,7,3,0,6
692,-1,4,0,6
693,1,3,0,6
694,1,3,0,6
695,1,3,0,6
696,1,3,0,6
697,-1,4,0,6
698,6,3,0,6
699,6,3,0,6
700,6,3,0,6
701,6,3,0,6
702,-1,4,0,6
703,4,3,0,6
704,4,3,0,6
705,4,3,0,6
706,4,3,0,6
707,-1,4,0,6
708,7,3,0,6
709,7,3,0,6
710,7,3,0,6
711,7,3,0,6
712,-1,4,0,6
713,1,3,0,6
714,1,3,0,6
715,1,3,0,6
716,1,3,0,6
717,-1,4,0,6
718,6,3,0,6
719,6,3,0,6
720,6,3,0,6
721,-1,3,0,7
722,4,2,0,7
723,4,2,0,7
724,4,2,0,7
725,4,2,0,7
726,-1,3,0,7
727,7,2,0,7
728,7,2,0,7
729,7,2,0,7
730,7,2,0,7
731,-1,3,0,7
732,1,2,0,7
733,1,2,0,7
734,1,2,0,7
735,1,2,0,7
736,-1,3,0,7
737,4,2,0,7
738,4,2,0,7
739,4,2,0,7
740,4,2,0,7
741,-1,3,0,7
742,7,2,0,7
743,7,2,0,7
744,7,2,0,7
745,7,2,0,7
746,-1,3,0,7
747,1,2,0,7
748,1,2,0,7
749,1,2,0,7
750,1,2,0,7
751,-1,3,0,7
752,4,2,0,7
753,4,2,0,7
754,4,2,0,7
755,4,2,0,7
756,-1,3,0,7
757,7,2,0,7
758,7,2,0,7
759,7,2,0,7
760,7,2,0,7
761,-1,3,0,7
762,1,2,0,7
763,1,2,0,7
764,1,2,0,7
765,1,2,0,7
766,-1,3,0,7
767,4,2,0,7
768,4,2,0,7
769,4,2,0,7
770,4,2,0,7
771,-1,3,0,7
772,7,2,0,7
773,7,2,0,7
774,7,2,0,7
775,7,2,0,7
776,-1,3,0,7
777,1,2,0,7
778,1,2,0,7
779,1,2,0,7
780,1,2,0,7
781,-1,2,0,8
782,4,1,0,8
783,4,1,0,8
784,4,1,0,8
785,4,1,0,8
786,-1,2,0,8
787,7,1,0,8
788,7,1,0,8
789,7,1,0,8
790,7,1,0,8
791,-1,2,0,8
792,4,1,0,8
793,4,1,0,8
794,4,1,0,8
795,4,1,0,8
796,-1,2,0,8
797,7,1,0,8
798,7,1,0,8
799,7,1,0,8
800,7,1,0,8
801,-1,2,0,8
802,4,1,0,8
803,4,1,0,8
804,4,1,0,8
805,4,1,0,8
806,-1,2,0,8
807,7,1,0,8
808,7,1,0,8
809,7,1,0,8
810,7,1,0,8
811,-1,2,0,8
812,4,1,0,8
813,4,1,0,8
814,4,1,0,8
815,4,1,0,8
816,-1,2,0,8
817,7,1,0,8
818,7,1,0,8
819,7,1,0,8
820,7,1,0,8
821,-1,2,0,8
822,4,1,0,8
823,4,1,0,8
824,4,1,0,8
825,4,1,0,8
826,-1,2,0,8
827,7,1,0,8
828,7,1,0,8
829,7,1,0,8
830,7,1,0,8
831,-1,2,0,8
832,4,1,0,8
833,4,1,0,8
834,4,1,0,8
835,4,1,0,8
836,-1,1,0,9
837,7,0,0,9
838,7,0,0,9
839,7,0,0,9
840,7,0,0,9
841,7,0,0,9
842,7,0,0,9
843,7,0,0,9
844,7,0,0,9
845,7,0,0,9
846,7,0,0,9
847,7,0,0,9
848,7,0,0,9
849,7,0,0,9
850,7,0,0,9
851,7,0,0,9
852,7,0,0,9
853,7,0,0,9
854,7,0,0,9
855,7,0,0,9
856,7,0,0,9
857,7,0,0,9
858,7,0,0,9
859,7,0,0,9
860,7,0,0,9
861,7,0,0,9
862,7,0,0,9
863,-1,0,0,10
