clock,pid,state,cpu_done,cpu_total,io_done,io_total
1,2,READY,0,70,0,63
1,3,READY,0,67,0,136
1,4,READY,0,153,0,20
1,5,READY,0,40,0,131
1,6,READY,0,108,0,14
1,7,READY,0,171,0,28
1,8,READY,0,24,0,108
1,9,READY,0,62,0,110
1,10,READY,0,33,0,91
1,1,RUNNING,1,127,0,20
2,2,READY,0,70,0,63
2,3,READY,0,67,0,136
2,4,READY,0,153,0,20
2,5,READY,0,40,0,131
2,6,READY,0,108,0,14
2,7,READY,0,171,0,28
2,8,READY,0,24,0,108
2,9,READY,0,62,0,110
2,10,READY,0,33,0,91
2,1,RUNNING,2,127,0,20
3,2,READY,0,70,0,63
3,3,READY,0,67,0,136
3,4,READY,0,153,0,20
3,5,READY,0,40,0,131
3,6,READY,0,108,0,14
3,7,READY,0,171,0,28
3,8,READY,0,24,0,108
3,9,READY,0,62,0,110
3,10,READY,0,33,0,91
3,1,RUNNING,3,127,0,20
4,2,READY,0,70,0,63
4,3,READY,0,67,0,136
4,4,READY,0,153,0,20
4,5,READY,0,40,0,131
4,6,READY,0,108,0,14
4,7,READY,0,171,0,28
4,8,READY,0,24,0,108
4,9,READY,0,62,0,110
4,10,READY,0,33,0,91
4,1,RUNNING,4,127,0,20
5,2,READY,0,70,0,63
5,3,READY,0,67,0,136
5,4,READY,0,153,0,20
5,5,READY,0,40,0,131
5,6,READY,0,108,0,14
5,7,READY,0,171,0,28
5,8,READY,0,24,0,108
5,9,READY,0,62,0,110
5,10,READY,0,33,0,91
5,1,READY,5,127,0,20
6,3,READY,0,67,0,136
6,4,READY,0,153,0,20
6,5,READY,0,40,0,131
6,6,READY,0,108,0,14
6,7,READY,0,171,0,28
6,8,READY,0,24,0,108
6,9,READY,0,62,0,110
6,10,READY,0,33,0,91
6,1,READY,5,127,0,20
6,2,RUNNING,1,70,0,63
7,3,READY,0,67,0,136
7,4,READY,0,153,0,20
7,5,READY,0,40,0,131
7,6,READY,0,108,0,14
7,7,READY,0,171,0,28
7,8,READY,0,24,0,108
7,9,READY,0,62,0,110
7,10,READY,0,33,0,91
7,1,READY,5,127,0,20
7,2,RUNNING,2,70,0,63
8,3,READY,0,67,0,136
8,4,READY,0,153,0,20
8,5,READY,0,40,0,131
8,6,READY,0,108,0,14
8,7,READY,0,171,0,28
8,8,READY,0,24,0,108
8,9,READY,0,62,0,110
8,10,READY,0,33,0,91
8,1,READY,5,127,0,20
8,2,WAITING,3,70,0,63
9,4,READY,0,153,0,20
9,5,READY,0,40,0,131
9,6,READY,0,108,0,14
9,7,READY,0,171,0,28
9,8,READY,0,24,0,108
9,9,READY,0,62,0,110
9,10,READY,0,33,0,91
9,1,READY,5,127,0,20
9,2,WAITING,3,70,1,63
9,3,RUNNING,1,67,0,136
10,4,READY,0,153,0,20
10,5,READY,0,40,0,131
10,6,READY,0,108,0,14
10,7,READY,0,171,0,28
10,8,READY,0,24,0,108
10,9,READY,0,62,0,110
10,10,READY,0,33,0,91
10,1,READY,5,127,0,20
10,2,WAITING,3,70,2,63
10,3,RUNNING,2,67,0,136
11,4,READY,0,153,0,20
11,5,READY,0,40,0,131
11,6,READY,0,108,0,14
11,7,READY,0,171,0,28
11,8,READY,0,24,0,108
11,9,READY,0,62,0,110
11,10,READY,0,33,0,91
11,1,READY,5,127,0,20
11,2,WAITING,3,70,3,63
11,3,WAITING,3,67,0,136
12,5,READY,0,40,0,131
12,6,READY,0,108,0,14
12,7,READY,0,171,0,28
12,8,READY,0,24,0,108
12,9,READY,0,62,0,110
12,10,READY,0,33,0,91
12,1,READY,5,127,0,20
12,2,WAITING,3,70,4,63
12,3,WAITING,3,67,1,136
12,4,RUNNING,1,153,0,20
13,5,READY,0,40,0,131
13,6,READY,0,108,0,14
13,7,READY,0,171,0,28
13,8,READY,0,24,0,108
13,9,READY,0,62,0,110
13,10,READY,0,33,0,91
13,1,READY,5,127,0,20
13,2,WAITING,3,70,5,63
13,3,WAITING,3,67,2,136
13,4,RUNNING,2,153,0,20
14,5,READY,0,40,0,131
14,6,READY,0,108,0,14
14,7,READY,0,171,0,28
14,8,READY,0,24,0,108
14,9,READY,0,62,0,110
14,10,READY,0,33,0,91
14,1,READY,5,127,0,20
14,2,WAITING,3,70,6,63
14,3,WAITING,3,67,3,136
14,4,RUNNING,3,153,0,20
15,5,READY,0,40,0,131
15,6,READY,0,108,0,14
15,7,READY,0,171,0,28
15,8,READY,0,24,0,108
15,9,READY,0,62,0,110
15,10,READY,0,33,0,91
15,1,READY,5,127,0,20
15,2,WAITING,3,70,7,63
15,3,WAITING,3,67,4,136
15,4,RUNNING,4,153,0,20
16,5,READY,0,40,0,131
16,6,READY,0,108,0,14
16,7,READY,0,171,0,28
16,8,READY,0,24,0,108
16,9,READY,0,62,0,110
16,10,READY,0,33,0,91
16,1,READY,5,127,0,20
16,4,READY,5,153,0,20
16,2,WAITING,3,70,8,63
16,3,WAITING,3,67,5,136
17,6,READY,0,108,0,14
17,7,READY,0,171,0,28
17,8,READY,0,24,0,108
17,9,READY,0,62,0,110
17,10,READY,0,33,0,91
17,1,READY,5,127,0,20
17,4,READY,5,153,0,20
17,2,WAITING,3,70,9,63
17,3,WAITING,3,67,6,136
17,5,RUNNING,1,40,0,131
18,6,READY,0,108,0,14
18,7,READY,0,171,0,28
18,8,READY,0,24,0,108
18,9,READY,0,62,0,110
18,10,READY,0,33,0,91
18,1,READY,5,127,0,20
18,4,READY,5,153,0,20
18,2,WAITING,3,70,10,63
18,3,WAITING,3,67,7,136
18,5,RUNNING,2,40,0,131
19,6,READY,0,108,0,14
19,7,READY,0,171,0,28
19,8,READY,0,24,0,108
19,9,READY,0,62,0,110
19,10,READY,0,33,0,91
19,1,READY,5,127,0,20
19,4,READY,5,153,0,20
19,2,WAITING,3,70,11,63
19,3,WAITING,3,67,8,136
19,5,RUNNING,3,40,0,131
20,6,READY,0,108,0,14
20,7,READY,0,171,0,28
20,8,READY,0,24,0,108
20,9,READY,0,62,0,110
20,10,READY,0,33,0,91
20,1,READY,5,127,0,20
20,4,READY,5,153,0,20
20,2,WAITING,3,70,12,63
20,3,WAITING,3,67,9,136
20,5,WAITING,4,40,0,131
21,7,READY,0,171,0,28
21,8,READY,0,24,0,108
21,9,READY,0,62,0,110
21,10,READY,0,33,0,91
21,1,READY,5,127,0,20
21,4,READY,5,153,0,20
21,2,WAITING,3,70,13,63
21,3,WAITING,3,67,10,136
21,5,WAITING,4,40,1,131
21,6,RUNNING,1,108,0,14
22,7,READY,0,171,0,28
22,8,READY,0,24,0,108
22,9,READY,0,62,0,110
22,10,READY,0,33,0,91
22,1,READY,5,127,0,20
22,4,READY,5,153,0,20
22,2,WAITING,3,70,14,63
22,3,WAITING,3,67,11,136
22,5,WAITING,4,40,2,131
22,6,RUNNING,2,108,0,14
23,7,READY,0,171,0,28
23,8,READY,0,24,0,108
23,9,READY,0,62,0,110
23,10,READY,0,33,0,91
23,1,READY,5,127,0,20
23,4,READY,5,153,0,20
23,2,WAITING,3,70,15,63
23,3,WAITING,3,67,12,136
23,5,WAITING,4,40,3,131
23,6,RUNNING,3,108,0,14
24,7,READY,0,171,0,28
24,8,READY,0,24,0,108
24,9,READY,0,62,0,110
24,10,READY,0,33,0,91
24,1,READY,5,127,0,20
24,4,READY,5,153,0,20
24,2,WAITING,3,70,16,63
