clock,pid,state,cpu_done,cpu_total,io_done,io_total
1,2,READY,0,67,0,113
1,3,READY,0,69,0,148
1,4,READY,0,64,0,185
1,5,READY,0,89,0,61
1,6,READY,0,87,0,142
1,7,READY,0,123,0,37
1,8,READY,0,56,0,145
1,9,READY,0,76,0,159
1,10,READY,0,26,0,106
1,1,RUNNING,1,20,0,136
2,2,READY,0,67,0,113
2,3,READY,0,69,0,148
2,4,READY,0,64,0,185
2,5,READY,0,89,0,61
2,6,READY,0,87,0,142
2,7,READY,0,123,0,37
2,8,READY,0,56,0,145
2,9,READY,0,76,0,159
2,10,READY,0,26,0,106
2,1,WAITING,2,20,0,136
3,3,READY,0,69,0,148
3,4,READY,0,64,0,185
3,5,READY,0,89,0,61
3,6,READY,0,87,0,142
3,7,READY,0,123,0,37
3,8,READY,0,56,0,145
3,9,READY,0,76,0,159
3,10,READY,0,26,0,106
3,1,WAITING,2,20,1,136
3,2,RUNNING,1,67,0,113
4,3,READY,0,69,0,148
4,4,READY,0,64,0,185
4,5,READY,0,89,0,61
4,6,READY,0,87,0,142
4,7,READY,0,123,0,37
4,8,READY,0,56,0,145
4,9,READY,0,76,0,159
4,10,READY,0,26,0,106
4,1,WAITING,2,20,2,136
4,2,RUNNING,2,67,0,113
5,3,READY,0,69,0,148
5,4,READY,0,64,0,185
5,5,READY,0,89,0,61
5,6,READY,0,87,0,142
5,7,READY,0,123,0,37
5,8,READY,0,56,0,145
5,9,READY,0,76,0,159
5,10,READY,0,26,0,106
5,1,WAITING,2,20,3,136
5,2,RUNNING,3,67,0,113
6,3,READY,0,69,0,148
6,4,READY,0,64,0,185
6,5,READY,0,89,0,61
6,6,READY,0,87,0,142
6,7,READY,0,123,0,37
6,8,READY,0,56,0,145
6,9,READY,0,76,0,159
6,10,READY,0,26,0,106
6,1,WAITING,2,20,4,136
6,2,WAITING,4,67,0,113
7,4,READY,0,64,0,185
7,5,READY,0,89,0,61
7,6,READY,0,87,0,142
7,7,READY,0,123,0,37
7,8,READY,0,56,0,145
7,9,READY,0,76,0,159
7,10,READY,0,26,0,106
7,1,WAITING,2,20,5,136
7,2,WAITING,4,67,1,113
7,3,RUNNING,1,69,0,148
8,4,READY,0,64,0,185
8,5,READY,0,89,0,61
8,6,READY,0,87,0,142
8,7,READY,0,123,0,37
8,8,READY,0,56,0,145
8,9,READY,0,76,0,159
8,10,READY,0,26,0,106
8,1,WAITING,2,20,6,136
8,2,WAITING,4,67,2,113
8,3,WAITING,2,69,0,148
9,5,READY,0,89,0,61
9,6,READY,0,87,0,142
9,7,READY,0,123,0,37
9,8,READY,0,56,0,145
9,9,READY,0,76,0,159
9,10,READY,0,26,0,106
9,1,WAITING,2,20,7,136
9,2,WAITING,4,67,3,113
9,3,WAITING,2,69,1,148
9,4,RUNNING,1,64,0,185
10,5,READY,0,89,0,61
10,6,READY,0,87,0,142
10,7,READY,0,123,0,37
10,8,READY,0,56,0,145
10,9,READY,0,76,0,159
10,10,READY,0,26,0,106
10,1,WAITING,2,20,8,136
10,2,WAITING,4,67,4,113
10,3,WAITING,2,69,2,148
10,4,RUNNING,2,64,0,185
11,5,READY,0,89,0,61
11,6,READY,0,87,0,142
11,7,READY,0,123,0,37
11,8,READY,0,56,0,145
11,9,READY,0,76,0,159
11,10,READY,0,26,0,106
11,1,WAITING,2,20,9,136
11,2,WAITING,4,67,5,113
11,3,WAITING,2,69,3,148
11,4,RUNNING,3,64,0,185
12,5,READY,0,89,0,61
12,6,READY,0,87,0,142
12,7,READY,0,123,0,37
12,8,READY,0,56,0,145
12,9,READY,0,76,0,159
12,10,READY,0,26,0,106
12,1,WAITING,2,20,10,136
12,2,WAITING,4,67,6,113
12,3,WAITING,2,69,4,148
12,4,WAITING,4,64,0,185
13,6,READY,0,87,0,142
13,7,READY,0,123,0,37
13,8,READY,0,56,0,145
13,9,READY,0,76,0,159
13,10,READY,0,26,0,106
13,1,WAITING,2,20,11,136
13,2,WAITING,4,67,7,113
13,3,WAITING,2,69,5,148
13,4,WAITING,4,64,1,185
13,5,RUNNING,1,89,0,61
14,6,READY,0,87,0,142
14,7,READY,0,123,0,37
14,8,READY,0,56,0,145
14,9,READY,0,76,0,159
14,10,READY,0,26,0,106
14,1,WAITING,2,20,12,136
14,2,WAITING,4,67,8,113
14,3,WAITING,2,69,6,148
14,4,WAITING,4,64,2,185
14,5,WAITING,2,89,0,61
15,7,READY,0,123,0,37
15,8,READY,0,56,0,145
15,9,READY,0,76,0,159
15,10,READY,0,26,0,106
15,1,WAITING,2,20,13,136
15,2,WAITING,4,67,9,113
15,3,WAITING,2,69,7,148
15,4,WAITING,4,64,3,185
15,5,WAITING,2,89,1,61
15,6,RUNNING,1,87,0,142
16,7,READY,0,123,0,37
16,8,READY,0,56,0,145
16,9,READY,0,76,0,159
16,10,READY,0,26,0,106
16,1,WAITING,2,20,14,136
16,2,WAITING,4,67,10,113
16,3,WAITING,2,69,8,148
