clock,running_pid,ready_size,waiting_size,terminated_size
1,1,9,0,0
2,-1,9,1,0
3,2,8,1,0
4,2,8,1,0
5,2,8,1,0
6,-1,8,2,0
7,3,7,2,0
8,-1,7,3,0
9,4,6,3,0
10,4,6,3,0
11,4,6,3,0
12,-1,6,4,0
13,5,5,4,0
14,-1,5,5,0
15,6,4,5,0
16,6,4,5,0
17,-1,4,6,0
18,7,3,6,0
19,7,3,6,0
20,7,3,6,0
21,7,3,6,0
22,7,3,6,0
23,7,3,6,0
24,7,3,6,0
25,7,3,6,0
26,7,3,6,0
27,-1,4,6,0
28,8,3,6,0
29,-1,3,7,0
30,9,2,7,0
31,9,2,7,0
32,-1,2,8,0
33,10,1,8,0
34,10,1,8,0
35,-1,1,9,0
36,-1,0,10,0
37,-1,0,10,0
38,-1,0,10,0
39,-1,0,10,0
40,-1,0,10,0
41,-1,0,10,0
42,-1,0,10,0
43,-1,0,10,0
44,-1,0,10,0
45,-1,0,10,0
46,-1,0,10,0
47,-1,0,10,0
48,-1,0,10,0
49,-1,0,10,0
50,-1,0,10,0
51,-1,0,10,0
52,-1,0,10,0
53,-1,0,10,0
54,-1,0,10,0
55,-1,0,10,0
56,-1,0,10,0
57,-1,0,10,0
58,-1,0,10,0
59,-1,0,10,0
60,-1,0,10,0
61,-1,0,10,0
62,-1,0,10,0
63,-1,0,10,0
64,-1,0,10,0
65,-1,0,10,0
66,-1,0,10,0
67,-1,0,10,0
68,-1,0,10,0
69,-1,0,10,0
70,-1,0,10,0
71,-1,0,10,0
72,-1,0,10,0
73,7,0,9,0
74,7,0,9,0
75,7,1,8,0
76,7,1,8,0
77,7,1,8,0
78,7,1,8,0
79,7,1,8,0
80,7,1,8,0
81,7,1,8,0
82,-1,2,8,0
83,5,1,8,0
84,5,1,8,0
85,5,1,8,0
86,5,1,8,0
87,5,1,8,0
88,5,1,8,0
89,5,1,8,0
90,5,1,8,0
91,5,1,8,0
92,-1,2,8,0
93,7,1,8,0
94,7,1,8,0
95,7,1,8,0
96,7,1,8,0
97,7,1,8,0
98,7,1,8,0
99,7,1,8,0
100,7,1,8,0
101,7,1,8,0
102,-1,2,8,0
103,5,1,8,0
104,5,1,8,0
105,5,1,8,0
