clock,pid,state,cpu_done,cpu_total,io_done,io_total
1,2,READY,0,21,0,93
1,3,READY,0,57,0,64
1,4,READY,0,85,0,65
1,5,READY,0,39,0,77
1,6,READY,0,50,0,180
1,7,READY,0,56,0,104
1,8,READY,0,46,0,94
1,9,READY,0,56,0,152
1,10,READY,0,56,0,142
1,1,RUNNING,1,43,0,154
2,2,READY,0,21,0,93
2,3,READY,0,57,0,64
2,4,READY,0,85,0,65
2,5,READY,0,39,0,77
2,6,READY,0,50,0,180
2,7,READY,0,56,0,104
2,8,READY,0,46,0,94
2,9,READY,0,56,0,152
2,10,READY,0,56,0,142
2,1,RUNNING,2,43,0,154
3,2,READY,0,21,0,93
3,3,READY,0,57,0,64
3,4,READY,0,85,0,65
3,5,READY,0,39,0,77
3,6,READY,0,50,0,180
3,7,READY,0,56,0,104
3,8,READY,0,46,0,94
3,9,READY,0,56,0,152
3,10,READY,0,56,0,142
3,1,RUNNING,3,43,0,154
4,2,READY,0,21,0,93
4,3,READY,0,57,0,64
4,4,READY,0,85,0,65
4,5,READY,0,39,0,77
4,6,READY,0,50,0,180
4,7,READY,0,56,0,104
4,8,READY,0,46,0,94
4,9,READY,0,56,0,152
4,10,READY,0,56,0,142
4,1,WAITING,4,43,0,154
5,3,READY,0,57,0,64
5,4,READY,0,85,0,65
5,5,READY,0,39,0,77
5,6,READY,0,50,0,180
5,7,READY,0,56,0,104
5,8,READY,0,46,0,94
5,9,READY,0,56,0,152
5,10,READY,0,56,0,142
5,1,WAITING,4,43,1,154
5,2,RUNNING,1,21,0,93
6,3,READY,0,57,0,64
6,4,READY,0,85,0,65
6,5,READY,0,39,0,77
6,6,READY,0,50,0,180
6,7,READY,0,56,0,104
6,8,READY,0,46,0,94
6,9,READY,0,56,0,152
6,10,READY,0,56,0,142
6,1,WAITING,4,43,2,154
6,2,RUNNING,2,21,0,93
7,3,READY,0,57,0,64
7,4,READY,0,85,0,65
7,5,READY,0,39,0,77
7,6,READY,0,50,0,180
7,7,READY,0,56,0,104
7,8,READY,0,46,0,94
7,9,READY,0,56,0,152
7,10,READY,0,56,0,142
7,1,WAITING,4,43,3,154
7,2,RUNNING,3,21,0,93
8,3,READY,0,57,0,64
8,4,READY,0,85,0,65
8,5,READY,0,39,0,77
8,6,READY,0,50,0,180
8,7,READY,0,56,0,104
8,8,READY,0,46,0,94
8,9,READY,0,56,0,152
8,10,READY,0,56,0,142
8,1,WAITING,4,43,4,154
8,2,WAITING,4,21,0,93
9,4,READY,0,85,0,65
9,5,READY,0,39,0,77
9,6,READY,0,50,0,180
9,7,READY,0,56,0,104
9,8,READY,0,46,0,94
9,9,READY,0,56,0,152
9,10,READY,0,56,0,142
9,1,WAITING,4,43,5,154
9,2,WAITING,4,21,1,93
9,3,RUNNING,1,57,0,64
10,4,READY,0,85,0,65
10,5,READY,0,39,0,77
10,6,READY,0,50,0,180
10,7,READY,0,56,0,104
10,8,READY,0,46,0,94
10,9,READY,0,56,0,152
10,10,READY,0,56,0,142
10,1,WAITING,4,43,6,154
10,2,WAITING,4,21,2,93
10,3,WAITING,2,57,0,64
11,5,READY,0,39,0,77
11,6,READY,0,50,0,180
11,7,READY,0,56,0,104
11,8,READY,0,46,0,94
11,9,READY,0,56,0,152
11,10,READY,0,56,0,142
11,1,WAITING,4,43,7,154
11,2,WAITING,4,21,3,93
11,3,WAITING,2,57,1,64
11,4,RUNNING,1,85,0,65
12,5,READY,0,39,0,77
12,6,READY,0,50,0,180
12,7,READY,0,56,0,104
12,8,READY,0,46,0,94
12,9,READY,0,56,0,152
12,10,READY,0,56,0,142
12,1,WAITING,4,43,8,154
12,2,WAITING,4,21,4,93
12,3,WAITING,2,57,2,64
12,4,RUNNING,2,85,0,65
13,5,READY,0,39,0,77
13,6,READY,0,50,0,180
13,7,READY,0,56,0,104
13,8,READY,0,46,0,94
13,9,READY,0,56,0,152
13,10,READY,0,56,0,142
