clock,running_pid,ready_size,waiting_size,terminated_size
1,1,9,0,0
2,1,9,0,0
3,1,9,0,0
4,1,9,0,0
5,1,9,0,0
6,1,9,0,0
7,1,9,0,0
8,1,9,0,0
9,1,9,0,0
10,-1,9,1,0
11,2,8,1,0
12,2,8,1,0
13,2,8,1,0
14,2,8,1,0
15,2,8,1,0
16,2,8,1,0
17,2,8,1,0
18,2,8,1,0
19,2,8,1,0
20,-1,8,2,0
21,3,7,2,0
22,3,7,2,0
23,3,7,2,0
24,3,7,2,0
25,3,7,2,0
26,3,7,2,0
27,3,7,2,0
28,3,7,2,0
29,3,7,2,0
30,3,7,2,0
31,-1,7,3,0
32,4,6,3,0
33,-1,7,3,0
34,5,6,3,0
35,5,6,3,0
36,5,6,3,0
37,5,6,3,0
38,5,6,3,0
39,5,6,3,0
40,5,7,2,0
41,5,7,2,0
42,-1,8,2,0
43,6,7,2,0
44,6,7,2,0
45,6,7,2,0
46,6,7,2,0
47,6,7,2,0
48,6,7,2,0
49,6,7,2,0
50,-1,7,3,0
51,7,6,3,0
52,7,6,3,0
53,7,6,3,0
54,7,6,3,0
55,7,6,3,0
56,7,6,3,0
57,7,6,3,0
58,7,6,3,0
59,7,6,3,0
60,7,6,3,0
61,7,6,3,0
62,-1,6,4,0
63,8,5,4,0
64,8,6,3,0
65,-1,6,4,0
66,9,5,4,0
67,9,5,4,0
68,9,5,4,0
69,9,5,4,0
70,9,5,4,0
71,9,5,4,0
72,9,5,4,0
73,9,5,4,0
74,-1,5,5,0
75,10,4,5,0
76,10,5,4,0
77,10,5,4,0
78,10,5,4,0
79,10,5,4,0
80,-1,5,5,0
81,1,4,5,0
82,1,4,5,0
83,1,4,5,0
84,1,4,5,0
85,1,4,5,0
86,1,4,5,0
87,1,4,5,0
88,1,4,5,0
89,1,4,5,0
90,1,4,5,0
91,1,4,5,0
92,1,4,5,0
93,1,4,5,0
94,1,4,5,0
95,1,4,5,0
96,1,4,5,0
97,1,6,3,0
98,1,6,3,0
99,1,6,3,0
100,1,6,3,0
101,1,6,3,0
102,1,6,3,0
103,1,6,3,0
104,1,7,2,0
105,1,7,2,0
106,1,7,2,0
107,1,7,2,0
108,1,7,2,0
109,1,7,2,0
110,1,7,2,0
111,1,7,2,0
112,1,7,2,0
113,1,7,2,0
114,1,7,2,0
115,1,7,2,0
116,1,7,2,0
117,1,7,2,0
118,1,7,2,0
119,1,7,2,0
120,1,7,2,0
121,1,7,2,0
122,1,7,2,0
123,1,7,2,0
124,1,7,2,0
125,1,7,2,0
126,1,7,2,0
127,1,7,2,0
128,1,7,2,0
129,1,7,2,0
130,1,7,2,0
131,1,7,2,0
132,1,7,2,0
133,1,7,2,0
134,1,7,2,0
135,1,7,2,0
136,1,7,2,0
137,1,7,2,0
138,1,7,2,0
139,1,7,2,0
140,1,7,2,0
141,1,7,2,0
142,1,7,2,0
143,1,7,2,0
144,1,7,2,0
145,1,7,2,0
146,1,7,2,0
147,1,7,2,0
148,1,7,2,0
149,1,7,2,0
150,1,7,2,0
151,1,7,2,0
152,1,7,2,0
153,1,7,2,0
154,1,7,2,0
155,1,7,2,0
156,1,7,2,0
157,1,7,2,0
158,1,7,2,0
159,1,7,2,0
160,1,7,2,0
161,1,7,2,0
162,1,7,2,0
163,1,7,2,0
164,1,7,2,0
165,1,7,2,0
166,1,7,2,0
167,1,7,2,0
168,1,7,2,0
169,1,7,2,0
170,1,7,2,0
171,1,7,2,0
172,1,7,2,0
173,1,7,2,0
174,1,7,2,0
175,1,7,2,0
176,1,7,2,0
177,1,7,2,0
178,1,8,1,0
179,1,8,1,0
180,1,8,1,0
181,1,8,1,0
182,1,8,1,0
183,1,8,1,0
184,1,8,1,0
185,1,8,1,0
186,1,8,1,0
187,-1,8,1,1
188,2,7,1,1
189,2,7,1,1
190,2,7,1,1
191,2,7,1,1
192,2,7,1,1
193,2,7,1,1
194,2,7,1,1
195,2,7,1,1
196,2,7,1,1
197,2,7,1,1
198,2,7,1,1
199,2,7,1,1
200,2,7,1,1
201,2,7,1,1
202,2,7,1,1
203,2,7,1,1
204,2,7,1,1
205,2,7,1,1
206,2,7,1,1
207,2,7,1,1
208,2,7,1,1
209,2,7,1,1
210,2,7,1,1
211,2,7,1,1
212,2,7,1,1
213,2,7,1,1
214,2,7,1,1
215,2,7,1,1
216,2,7,1,1
217,2,7,1,1
218,2,7,1,1
219,2,7,1,1
220,2,7,1,1
221,2,7,1,1
222,2,7,1,1
223,2,7,1,1
224,2,7,1,1
225,2,7,1,1
226,2,7,1,1
227,2,7,1,1
228,2,7,1,1
229,2,7,1,1
230,2,7,1,1
231,2,7,1,1
232,2,7,1,1
233,2,7,1,1
234,2,7,1,1
235,2,7,1,1
236,2,7,1,1
237,2,7,1,1
238,2,7,1,1
239,2,7,1,1
240,2,7,1,1
241,2,7,1,1
242,2,7,1,1
243,2,7,1,1
244,2,7,1,1
245,2,7,1,1
246,2,7,1,1
247,2,7,1,1
248,2,7,1,1
249,2,7,1,1
250,2,7,1,1
251,2,7,1,1
252,2,7,1,1
253,2,7,1,1
254,2,7,1,1
255,2,8,0,1
256,2,8,0,1
257,-1,8,0,2
258,3,7,0,2
259,3,7,0,2
260,3,7,0,2
261,3,7,0,2
262,3,7,0,2
263,3,7,0,2
264,3,7,0,2
265,3,7,0,2
266,3,7,0,2
267,3,7,0,2
268,3,7,0,2
269,3,7,0,2
270,3,7,0,2
271,3,7,0,2
272,3,7,0,2
273,3,7,0,2
274,3,7,0,2
275,3,7,0,2
276,3,7,0,2
277,3,7,0,2
278,3,7,0,2
279,3,7,0,2
280,3,7,0,2
281,3,7,0,2
282,3,7,0,2
283,3,7,0,2
284,3,7,0,2
285,3,7,0,2
286,3,7,0,2
287,3,7,0,2
288,3,7,0,2
289,3,7,0,2
290,3,7,0,2
291,3,7,0,2
292,3,7,0,2
293,3,7,0,2
294,3,7,0,2
295,3,7,0,2
296,3,7,0,2
297,3,7,0,2
298,3,7,0,2
299,3,7,0,2
300,3,7,0,2
301,3,7,0,2
302,3,7,0,2
303,3,7,0,2
304,3,7,0,2
305,3,7,0,2
306,3,7,0,2
307,3,7,0,2
308,3,7,0,2
309,3,7,0,2
310,3,7,0,2
311,3,7,0,2
312,3,7,0,2
313,3,7,0,2
314,3,7,0,2
315,3,7,0,2
316,3,7,0,2
317,3,7,0,2
318,3,7,0,2
319,3,7,0,2
320,3,7,0,2
321,3,7,0,2
322,3,7,0,2
323,3,7,0,2
324,3,7,0,2
325,3,7,0,2
326,3,7,0,2
327,3,7,0,2
328,3,7,0,2
329,3,7,0,2
330,3,7,0,2
331,3,7,0,2
332,3,7,0,2
333,3,7,0,2
334,3,7,0,2
335,3,7,0,2
336,3,7,0,2
337,3,7,0,2
338,3,7,0,2
339,3,7,0,2
340,3,7,0,2
341,3,7,0,2
342,3,7,0,2
343,3,7,0,2
344,3,7,0,2
345,3,7,0,2
346,3,7,0,2
347,3,7,0,2
348,3,7,0,2
349,3,7,0,2
350,3,7,0,2
351,3,7,0,2
352,3,7,0,2
353,3,7,0,2
354,3,7,0,2
355,3,7,0,2
356,3,7,0,2
357,3,7,0,2
358,3,7,0,2
359,3,7,0,2
360,3,7,0,2
361,3,7,0,2
362,3,7,0,2
363,3,7,0,2
364,3,7,0,2
365,3,7,0,2
366,3,7,0,2
367,3,7,0,2
368,3,7,0,2
369,3,7,0,2
370,3,7,0,2
371,3,7,0,2
372,3,7,0,2
373,3,7,0,2
374,3,7,0,2
375,3,7,0,2
376,3,7,0,2
377,3,7,0,2
378,3,7,0,2
379,3,7,0,2
380,-1,7,0,3
381,5,6,0,3
382,5,6,0,3
383,5,6,0,3
384,5,6,0,3
385,5,6,0,3
386,5,6,0,3
387,5,6,0,3
388,5,6,0,3
389,5,6,0,3
390,5,6,0,3
391,5,6,0,3
392,5,6,0,3
393,5,6,0,3
394,5,6,0,3
395,5,6,0,3
396,5,6,0,3
397,5,6,0,3
398,5,6,0,3
399,5,6,0,3
400,5,6,0,3
401,5,6,0,3
402,5,6,0,3
403,5,6,0,3
404,5,6,0,3
405,5,6,0,3
406,5,6,0,3
407,5,6,0,3
408,5,6,0,3
409,5,6,0,3
410,5,6,0,3
411,5,6,0,3
412,5,6,0,3
413,5,6,0,3
414,5,6,0,3
415,5,6,0,3
416,5,6,0,3
417,5,6,0,3
418,5,6,0,3
419,5,6,0,3
420,5,6,0,3
421,5,6,0,3
422,5,6,0,3
423,5,6,0,3
424,5,6,0,3
425,5,6,0,3
426,5,6,0,3
427,5,6,0,3
428,5,6,0,3
429,5,6,0,3
430,5,6,0,3
431,5,6,0,3
432,5,6,0,3
433,5,6,0,3
434,5,6,0,3
435,5,6,0,3
436,5,6,0,3
437,5,6,0,3
438,5,6,0,3
439,5,6,0,3
440,5,6,0,3
441,5,6,0,3
442,5,6,0,3
443,5,6,0,3
444,5,6,0,3
445,5,6,0,3
446,5,6,0,3
447,5,6,0,3
448,5,6,0,3
449,5,6,0,3
450,5,6,0,3
451,5,6,0,3
452,5,6,0,3
453,5,6,0,3
454,5,6,0,3
455,5,6,0,3
456,5,6,0,3
457,5,6,0,3
458,5,6,0,3
459,5,6,0,3
460,5,6,0,3
461,5,6,0,3
462,5,6,0,3
463,5,6,0,3
464,5,6,0,3
465,5,6,0,3
466,5,6,0,3
467,5,6,0,3
468,5,6,0,3
469,5,6,0,3
470,5,6,0,3
471,5,6,0,3
472,5,6,0,3
473,5,6,0,3
474,5,6,0,3
475,5,6,0,3
476,5,6,0,3
477,5,6,0,3
478,5,6,0,3
479,5,6,0,3
480,5,6,0,3
481,5,6,0,3
482,5,6,0,3
483,5,6,0,3
484,5,6,0,3
485,5,6,0,3
486,5,6,0,3
487,5,6,0,3
488,5,6,0,3
489,5,6,0,3
490,5,6,0,3
491,5,6,0,3
492,5,6,0,3
493,5,6,0,3
494,5,6,0,3
495,5,6,0,3
496,5,6,0,3
497,5,6,0,3
498,5,6,0,3
499,5,6,0,3
500,5,6,0,3
501,5,6,0,3
502,5,6,0,3
503,5,6,0,3
504,5,6,0,3
505,5,6,0,3
506,5,6,0,3
507,5,6,0,3
508,5,6,0,3
509,5,6,0,3
510,5,6,0,3
511,5,6,0,3
512,5,6,0,3
513,5,6,0,3
514,5,6,0,3
515,5,6,0,3
516,5,6,0,3
517,5,6,0,3
518,5,6,0,3
519,5,6,0,3
520,5,6,0,3
521,5,6,0,3
522,5,6,0,3
523,5,6,0,3
524,5,6,0,3
525,5,6,0,3
526,5,6,0,3
527,5,6,0,3
528,5,6,0,3
529,5,6,0,3
530,5,6,0,3
531,5,6,0,3
532,5,6,0,3
533,5,6,0,3
534,5,6,0,3
535,5,6,0,3
536,5,6,0,3
537,-1,6,0,4
538,6,5,0,4
539,6,5,0,4
540,6,5,0,4
541,6,5,0,4
542,6,5,0,4
543,6,5,0,4
544,6,5,0,4
545,6,5,0,4
546,6,5,0,4
547,6,5,0,4
548,6,5,0,4
549,6,5,0,4
550,6,5,0,4
551,6,5,0,4
552,6,5,0,4
553,6,5,0,4
554,6,5,0,4
555,6,5,0,4
556,6,5,0,4
557,6,5,0,4
558,6,5,0,4
559,6,5,0,4
560,6,5,0,4
561,6,5,0,4
562,6,5,0,4
563,6,5,0,4
564,6,5,0,4
565,6,5,0,4
566,6,5,0,4
567,6,5,0,4
568,6,5,0,4
569,6,5,0,4
570,6,5,0,4
571,6,5,0,4
572,6,5,0,4
573,6,5,0,4
574,6,5,0,4
575,6,5,0,4
576,6,5,0,4
577,6,5,0,4
578,6,5,0,4
579,6,5,0,4
580,6,5,0,4
581,6,5,0,4
582,6,5,0,4
583,6,5,0,4
584,6,5,0,4
585,6,5,0,4
586,6,5,0,4
587,6,5,0,4
588,6,5,0,4
589,6,5,0,4
590,6,5,0,4
591,6,5,0,4
592,6,5,0,4
593,6,5,0,4
594,6,5,0,4
595,6,5,0,4
596,6,5,0,4
597,6,5,0,4
598,6,5,0,4
599,6,5,0,4
600,6,5,0,4
601,6,5,0,4
602,6,5,0,4
603,6,5,0,4
604,6,5,0,4
605,6,5,0,4
606,6,5,0,4
607,6,5,0,4
608,6,5,0,4
609,6,5,0,4
610,6,5,0,4
611,6,5,0,4
612,6,5,0,4
613,6,5,0,4
614,6,5,0,4
615,6,5,0,4
616,6,5,0,4
617,6,5,0,4
618,6,5,0,4
619,6,5,0,4
620,6,5,0,4
621,6,5,0,4
622,6,5,0,4
623,6,5,0,4
624,6,5,0,4
625,6,5,0,4
626,6,5,0,4
627,6,5,0,4
628,6,5,0,4
629,6,5,0,4
630,6,5,0,4
631,6,5,0,4
632,6,5,0,4
633,6,5,0,4
634,6,5,0,4
635,6,5,0,4
636,6,5,0,4
637,6,5,0,4
638,6,5,0,4
639,6,5,0,4
640,6,5,0,4
641,6,5,0,4
642,6,5,0,4
643,6,5,0,4
644,6,5,0,4
645,6,5,0,4
646,6,5,0,4
647,6,5,0,4
648,6,5,0,4
649,6,5,0,4
650,6,5,0,4
651,6,5,0,4
652,6,5,0,4
653,6,5,0,4
654,6,5,0,4
655,6,5,0,4
656,6,5,0,4
657,6,5,0,4
658,6,5,0,4
659,6,5,0,4
660,6,5,0,4
661,6,5,0,4
662,6,5,0,4
663,6,5,0,4
664,6,5,0,4
665,6,5,0,4
666,6,5,0,4
667,6,5,0,4
668,6,5,0,4
669,6,5,0,4
670,6,5,0,4
671,6,5,0,4
672,6,5,0,4
673,6,5,0,4
674,6,5,0,4
675,6,5,0,4
676,6,5,0,4
677,6,5,0,4
678,-1,5,0,5
679,7,4,0,5
680,7,4,0,5
681,7,4,0,5
682,7,4,0,5
683,7,4,0,5
684,7,4,0,5
685,7,4,0,5
686,7,4,0,5
687,7,4,0,5
688,7,4,0,5
689,7,4,0,5
690,7,4,0,5
691,7,4,0,5
692,7,4,0,5
693,7,4,0,5
694,7,4,0,5
695,7,4,0,5
696,7,4,0,5
697,7,4,0,5
698,7,4,0,5
699,7,4,0,5
700,7,4,0,5
701,7,4,0,5
702,7,4,0,5
703,7,4,0,5
704,7,4,0,5
705,7,4,0,5
706,7,4,0,5
707,7,4,0,5
708,7,4,0,5
709,7,4,0,5
710,7,4,0,5
711,7,4,0,5
712,7,4,0,5
713,7,4,0,5
714,7,4,0,5
715,7,4,0,5
716,7,4,0,5
717,7,4,0,5
718,7,4,0,5
719,7,4,0,5
720,7,4,0,5
721,7,4,0,5
722,7,4,0,5
723,7,4,0,5
724,7,4,0,5
725,7,4,0,5
726,7,4,0,5
727,7,4,0,5
728,7,4,0,5
729,7,4,0,5
730,7,4,0,5
731,7,4,0,5
732,7,4,0,5
733,7,4,0,5
734,7,4,0,5
735,7,4,0,5
736,7,4,0,5
737,7,4,0,5
738,7,4,0,5
739,7,4,0,5
740,7,4,0,5
741,7,4,0,5
742,7,4,0,5
743,7,4,0,5
744,7,4,0,5
745,7,4,0,5
746,7,4,0,5
747,7,4,0,5
748,7,4,0,5
749,7,4,0,5
750,7,4,0,5
751,7,4,0,5
752,7,4,0,5
753,7,4,0,5
754,7,4,0,5
755,7,4,0,5
756,7,4,0,5
757,7,4,0,5
758,7,4,0,5
759,7,4,0,5
760,7,4,0,5
761,7,4,0,5
762,7,4,0,5
763,-1,4,0,6
764,10,3,0,6
765,10,3,0,6
766,10,3,0,6
767,10,3,0,6
768,10,3,0,6
769,10,3,0,6
770,10,3,0,6
771,10,3,0,6
772,10,3,0,6
773,10,3,0,6
774,10,3,0,6
775,10,3,0,6
776,10,3,0,6
777,10,3,0,6
778,10,3,0,6
779,10,3,0,6
780,10,3,0,6
781,10,3,0,6
782,10,3,0,6
783,10,3,0,6
784,10,3,0,6
785,10,3,0,6
786,10,3,0,6
787,10,3,0,6
788,10,3,0,6
789,10,3,0,6
790,10,3,0,6
791,10,3,0,6
792,10,3,0,6
793,10,3,0,6
794,10,3,0,6
795,10,3,0,6
796,10,3,0,6
797,10,3,0,6
798,10,3,0,6
799,10,3,0,6
800,10,3,0,6
801,10,3,0,6
802,10,3,0,6
803,10,3,0,6
804,10,3,0,6
805,10,3,0,6
806,10,3,0,6
807,10,3,0,6
808,10,3,0,6
809,10,3,0,6
810,10,3,0,6
811,10,3,0,6
812,10,3,0,6
813,10,3,0,6
814,10,3,0,6
815,10,3,0,6
816,10,3,0,6
817,10,3,0,6
818,10,3,0,6
819,10,3,0,6
820,10,3,0,6
821,10,3,0,6
822,10,3,0,6
823,10,3,0,6
824,10,3,0,6
825,10,3,0,6
826,10,3,0,6
827,10,3,0,6
828,10,3,0,6
829,10,3,0,6
830,10,3,0,6
831,10,3,0,6
832,10,3,0,6
833,10,3,0,6
834,10,3,0,6
835,10,3,0,6
836,10,3,0,6
837,10,3,0,6
838,10,3,0,6
839,10,3,0,6
840,10,3,0,6
841,10,3,0,6
842,10,3,0,6
843,10,3,0,6
844,10,3,0,6
845,10,3,0,6
846,10,3,0,6
847,10,3,0,6
848,10,3,0,6
849,10,3,0,6
850,10,3,0,6
851,10,3,0,6
852,10,3,0,6
853,10,3,0,6
854,10,3,0,6
855,10,3,0,6
856,10,3,0,6
857,10,3,0,6
858,10,3,0,6
859,10,3,0,6
860,10,3,0,6
861,10,3,0,6
862,10,3,0,6
863,10,3,0,6
864,10,3,0,6
865,10,3,0,6
866,10,3,0,6
867,10,3,0,6
868,10,3,0,6
869,10,3,0,6
870,10,3,0,6
871,10,3,0,6
872,10,3,0,6
873,10,3,0,6
874,10,3,0,6
875,10,3,0,6
876,10,3,0,6
877,10,3,0,6
878,10,3,0,6
879,10,3,0,6
880,10,3,0,6
881,10,3,0,6
882,10,3,0,6
883,10,3,0,6
884,10,3,0,6
885,10,3,0,6
886,10,3,0,6
887,-1,3,0,7
888,9,2,0,7
889,9,2,0,7
890,9,2,0,7
891,9,2,0,7
892,9,2,0,7
893,9,2,0,7
894,9,2,0,7
895,9,2,0,7
896,9,2,0,7
897,9,2,0,7
898,9,2,0,7
899,9,2,0,7
900,9,2,0,7
901,9,2,0,7
902,9,2,0,7
903,9,2,0,7
904,9,2,0,7
905,9,2,0,7
906,9,2,0,7
907,9,2,0,7
908,9,2,0,7
909,9,2,0,7
910,9,2,0,7
911,9,2,0,7
912,9,2,0,7
913,9,2,0,7
914,9,2,0,7
915,9,2,0,7
916,9,2,0,7
917,9,2,0,7
918,9,2,0,7
919,9,2,0,7
920,9,2,0,7
921,9,2,0,7
922,9,2,0,7
923,9,2,0,7
924,9,2,0,7
925,9,2,0,7
926,9,2,0,7
927,9,2,0,7
928,9,2,0,7
929,9,2,0,7
930,9,2,0,7
931,9,2,0,7
932,9,2,0,7
933,9,2,0,7
934,9,2,0,7
935,9,2,0,7
936,9,2,0,7
937,9,2,0,7
938,9,2,0,7
939,9,2,0,7
940,9,2,0,7
941,9,2,0,7
942,9,2,0,7
943,9,2,0,7
944,9,2,0,7
945,9,2,0,7
946,9,2,0,7
947,9,2,0,7
948,9,2,0,7
949,9,2,0,7
950,9,2,0,7
951,9,2,0,7
952,9,2,0,7
953,9,2,0,7
954,9,2,0,7
955,9,2,0,7
956,9,2,0,7
957,9,2,0,7
958,9,2,0,7
959,9,2,0,7
960,9,2,0,7
961,9,2,0,7
962,9,2,0,7
963,9,2,0,7
964,9,2,0,7
965,9,2,0,7
966,9,2,0,7
967,9,2,0,7
968,9,2,0,7
969,9,2,0,7
970,9,2,0,7
971,9,2,0,7
972,9,2,0,7
973,9,2,0,7
974,9,2,0,7
975,9,2,0,7
976,9,2,0,7
977,9,2,0,7
978,9,2,0,7
979,9,2,0,7
980,9,2,0,7
981,9,2,0,7
982,9,2,0,7
983,9,2,0,7
984,9,2,0,7
985,9,2,0,7
986,9,2,0,7
987,9,2,0,7
988,9,2,0,7
989,9,2,0,7
990,9,2,0,7
991,9,2,0,7
992,9,2,0,7
993,9,2,0,7
994,9,2,0,7
995,9,2,0,7
996,9,2,0,7
997,9,2,0,7
998,9,2,0,7
999,9,2,0,7
1000,9,2,0,7
1001,9,2,0,7
1002,9,2,0,7
1003,9,2,0,7
1004,9,2,0,7
1005,9,2,0,7
1006,9,2,0,7
1007,9,2,0,7
1008,9,2,0,7
1009,9,2,0,7
1010,9,2,0,7
1011,9,2,0,7
1012,9,2,0,7
1013,9,2,0,7
1014,9,2,0,7
1015,9,2,0,7
1016,9,2,0,7
