clock,pid,state,cpu_done,cpu_total,io_done,io_total
1,2,READY,0,130,0,13
1,3,READY,0,78,0,96
1,4,READY,0,76,0,182
1,5,READY,0,23,0,124
1,1,RUNNING,1,28,0,196
2,2,READY,0,130,0,13
2,3,READY,0,78,0,96
2,4,READY,0,76,0,182
2,5,READY,0,23,0,124
2,1,WAITING,2,28,0,196
3,3,READY,0,78,0,96
3,4,READY,0,76,0,182
3,5,READY,0,23,0,124
3,1,WAITING,2,28,1,196
3,2,RUNNING,1,130,0,13
4,3,READY,0,78,0,96
4,4,READY,0,76,0,182
4,5,READY,0,23,0,124
4,1,WAITING,2,28,2,196
4,2,RUNNING,2,130,0,13
5,3,READY,0,78,0,96
5,4,READY,0,76,0,182
5,5,READY,0,23,0,124
5,1,WAITING,2,28,3,196
5,2,RUNNING,3,130,0,13
6,3,READY,0,78,0,96
6,4,READY,0,76,0,182
6,5,READY,0,23,0,124
6,1,WAITING,2,28,4,196
6,2,RUNNING,4,130,0,13
7,3,READY,0,78,0,96
7,4,READY,0,76,0,182
7,5,READY,0,23,0,124
7,2,READY,5,130,0,13
7,1,WAITING,2,28,5,196
8,4,READY,0,76,0,182
8,5,READY,0,23,0,124
8,2,READY,5,130,0,13
8,1,WAITING,2,28,6,196
8,3,RUNNING,1,78,0,96
9,4,READY,0,76,0,182
9,5,READY,0,23,0,124
9,2,READY,5,130,0,13
9,1,WAITING,2,28,7,196
9,3,RUNNING,2,78,0,96
10,4,READY,0,76,0,182
10,5,READY,0,23,0,124
10,2,READY,5,130,0,13
10,1,WAITING,2,28,8,196
10,3,WAITING,3,78,0,96
11,5,READY,0,23,0,124
11,2,READY,5,130,0,13
11,1,WAITING,2,28,9,196
11,3,WAITING,3,78,1,96
11,4,RUNNING,1,76,0,182
12,5,READY,0,23,0,124
12,2,READY,5,130,0,13
12,1,WAITING,2,28,10,196
12,3,WAITING,3,78,2,96
12,4,WAITING,2,76,0,182
13,2,READY,5,130,0,13
13,1,WAITING,2,28,11,196
13,3,WAITING,3,78,3,96
13,4,WAITING,2,76,1,182
13,5,RUNNING,1,23,0,124
14,2,READY,5,130,0,13
14,1,WAITING,2,28,12,196
14,3,WAITING,3,78,4,96
