clock,running_pid,ready_size,waiting_size,terminated_size
1,1,4,0,0
2,-1,4,1,0
3,2,3,1,0
4,2,3,1,0
5,2,3,1,0
6,2,3,1,0
7,-1,4,1,0
8,3,3,1,0
9,3,3,1,0
10,-1,3,2,0
11,4,2,2,0
12,-1,2,3,0
13,5,1,3,0
14,5,1,3,0
15,5,1,3,0
16,-1,1,4,0
17,-1,0,5,0
18,-1,0,5,0
19,-1,0,5,0
20,-1,0,5,0
21,-1,0,5,0
22,-1,0,5,0
23,-1,0,5,0
24,-1,0,5,0
25,-1,0,5,0
26,-1,0,5,0
27,-1,0,5,0
28,-1,0,5,0
29,-1,0,5,0
30,2,0,4,0
31,2,0,4,0
32,2,0,4,0
33,2,0,4,0
34,2,0,4,0
35,2,0,4,0
36,2,0,4,0
37,2,0,4,0
38,2,0,4,0
39,2,0,4,0
40,2,0,4,0
41,2,0,4,0
42,2,0,4,0
43,2,0,4,0
44,2,0,4,0
45,2,0,4,0
46,2,0,4,0
47,2,0,4,0
48,2,0,4,0
49,2,0,4,0
50,2,0,4,0
51,2,0,4,0
52,2,0,4,0
53,2,0,4,0
54,2,0,4,0
55,2,0,4,0
56,2,0,4,0
57,2,0,4,0
58,2,0,4,0
59,2,0,4,0
60,2,0,4,0
61,2,0,4,0
62,2,0,4,0
63,2,0,4,0
64,2,0,4,0
65,2,0,4,0
66,2,0,4,0
67,2,0,4,0
68,2,0,4,0
69,2,0,4,0
70,2,0,4,0
71,2,0,4,0
72,2,0,4,0
73,2,0,4,0
74,2,0,4,0
75,2,0,4,0
76,2,0,4,0
77,2,0,4,0
78,2,0,4,0
79,2,0,4,0
80,2,0,4,0
81,2,0,4,0
82,2,0,4,0
83,2,0,4,0
84,2,0,4,0
85,2,0,4,0
86,2,0,4,0
87,2,0,4,0
88,2,0,4,0
89,2,0,4,0
90,2,0,4,0
91,2,0,4,0
92,2,0,4,0
93,2,0,4,0
94,2,0,4,0
95,2,0,4,0
96,2,0,4,0
97,2,0,4,0
98,2,0,4,0
99,2,0,4,0
100,2,0,4,0
101,2,0,4,0
102,2,0,4,0
103,2,0,4,0
104,2,0,4,0
105,2,0,4,0
106,-1,2,3,0
107,3,1,3,0
108,3,1,3,0
109,3,1,3,0
110,3,1,3,0
111,-1,2,3,0
112,2,1,3,0
113,2,1,3,0
114,2,1,3,0
115,2,1,3,0
116,-1,2,3,0
117,3,1,3,0
118,3,1,3,0
119,3,1,3,0
120,3,1,3,0
121,-1,2,3,0
122,2,1,3,0
123,2,1,3,0
124,2,1,3,0
125,2,1,3,0
126,-1,2,3,0
127,3,1,3,0
128,3,1,3,0
129,3,1,3,0
130,3,1,3,0
131,-1,2,3,0
132,2,1,3,0
133,2,1,3,0
134,2,1,3,0
135,2,1,3,0
136,-1,2,3,0
137,3,1,3,0
138,3,1,3,0
139,3,1,3,0
140,3,2,2,0
141,-1,3,2,0
142,2,2,2,0
143,2,2,2,0
144,2,2,2,0
145,2,2,2,0
146,-1,3,2,0
147,5,2,2,0
148,5,2,2,0
149,5,2,2,0
150,5,2,2,0
151,-1,3,2,0
152,3,2,2,0
153,3,2,2,0
154,3,2,2,0
155,3,2,2,0
156,-1,3,2,0
157,2,2,2,0
158,2,2,2,0
159,2,2,2,0
160,2,2,2,0
161,-1,3,2,0
162,5,2,2,0
163,5,2,2,0
164,5,2,2,0
165,5,2,2,0
166,-1,3,2,0
167,3,2,2,0
168,3,2,2,0
169,3,2,2,0
170,3,2,2,0
171,-1,3,2,0
172,2,2,2,0
173,2,2,2,0
174,2,2,2,0
175,2,2,2,0
176,-1,3,2,0
177,5,2,2,0
178,5,2,2,0
179,5,2,2,0
180,5,2,2,0
181,-1,3,2,0
182,3,2,2,0
183,3,2,2,0
184,3,2,2,0
185,3,2,2,0
186,-1,3,2,0
187,2,2,2,0
188,2,2,2,0
189,2,2,2,0
190,2,2,2,0
191,-1,3,2,0
192,5,2,2,0
193,5,2,2,0
194,5,3,1,0
195,-1,3,1,1
196,3,2,1,1
197,3,2,1,1
198,3,3,0,1
199,3,3,0,1
200,-1,4,0,1
201,2,3,0,1
202,2,3,0,1
203,2,3,0,1
204,2,3,0,1
205,-1,4,0,1
206,4,3,0,1
207,4,3,0,1
208,4,3,0,1
209,4,3,0,1
210,-1,4,0,1
211,1,3,0,1
212,1,3,0,1
213,1,3,0,1
214,1,3,0,1
215,-1,4,0,1
216,3,3,0,1
217,3,3,0,1
218,3,3,0,1
219,3,3,0,1
220,-1,4,0,1
221,2,3,0,1
222,2,3,0,1
223,2,3,0,1
224,2,3,0,1
225,-1,4,0,1
226,4,3,0,1
227,4,3,0,1
228,4,3,0,1
229,4,3,0,1
230,-1,4,0,1
231,1,3,0,1
232,1,3,0,1
233,1,3,0,1
234,1,3,0,1
235,-1,4,0,1
236,3,3,0,1
237,3,3,0,1
238,3,3,0,1
239,3,3,0,1
240,-1,4,0,1
241,2,3,0,1
242,-1,3,0,2
243,4,2,0,2
244,4,2,0,2
245,4,2,0,2
246,4,2,0,2
247,-1,3,0,2
248,1,2,0,2
249,1,2,0,2
250,1,2,0,2
251,1,2,0,2
252,-1,3,0,2
253,3,2,0,2
254,3,2,0,2
255,3,2,0,2
256,3,2,0,2
257,-1,3,0,2
258,4,2,0,2
259,4,2,0,2
260,4,2,0,2
261,4,2,0,2
262,-1,3,0,2
263,1,2,0,2
264,1,2,0,2
265,1,2,0,2
266,1,2,0,2
267,-1,3,0,2
268,3,2,0,2
269,3,2,0,2
270,3,2,0,2
271,3,2,0,2
272,-1,3,0,2
273,4,2,0,2
274,4,2,0,2
275,4,2,0,2
276,4,2,0,2
277,-1,3,0,2
278,1,2,0,2
279,1,2,0,2
280,1,2,0,2
281,1,2,0,2
282,-1,3,0,2
283,3,2,0,2
284,3,2,0,2
285,3,2,0,2
286,3,2,0,2
287,-1,3,0,2
288,4,2,0,2
289,4,2,0,2
290,4,2,0,2
291,4,2,0,2
292,-1,3,0,2
293,-1,2,0,3
294,3,1,0,3
295,3,1,0,3
296,3,1,0,3
297,3,1,0,3
298,-1,2,0,3
299,4,1,0,3
300,4,1,0,3
301,4,1,0,3
302,4,1,0,3
303,-1,2,0,3
304,3,1,0,3
305,3,1,0,3
306,3,1,0,3
307,3,1,0,3
